pathway	pval	padj	log2err	ES	NES	size	leadingEdge
REACTOME_2_LTR_CIRCLE_FORMATION	0.521484375	0.996198078884265	0.0756946307932749	-0.519848771266541	-0.975770646338293	3	HMGA1, PSIP1, XRCC6
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	0.900990099009901	0.996198078884265	0.0499913914024592	-0.280127277076293	-0.639651361672192	5	ABCA10
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	0.761133603238866	0.996198078884265	0.0588438169595807	-0.498672326389903	-0.811002135092983	2	ABCA10
REACTOME_ABC_TRANSPORTER_DISORDERS	0.490234375	0.996198078884265	0.0789209638180035	-0.535916824196597	-1.00593082995239	3	PSMD7, VCP, RNF5
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	0.540485829959514	0.996198078884265	0.0756946307932749	-0.725471698113208	-0.975710002444956	1	UBE2S
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	0.5	0.996198078884265	0.0797705918628453	-0.744339622641509	-1.00108607533039	1	CDK4
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	0.649797570850202	0.996198078884265	0.066436413766281	-0.562795089707271	-0.915286442054479	2	POLR2D, SUPT4H1
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	0.107287449392713	0.724650276428212	0.193813302725311	-0.938679245283019	-1.26245962605037	1	CHRNA1
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.326771653543307	0.996198078884265	0.102449405629826	0.849056603773585	1.11896103131767	1	SYT1
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	0.902834008097166	0.996198078884265	0.0509082865515105	-0.414542020774315	-0.674179107486437	2	NEURL1B, PSEN2
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	0.521653543307087	0.996198078884265	0.0760837160951725	0.74811320754717	0.985928997594344	1	H2BC26
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	0.374015748031496	0.996198078884265	0.0943563635421779	0.825471698113208	1.08787878044773	1	NOD2
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	0.50390625	0.996198078884265	0.0774767547848578	-0.527410207939509	-0.989963673921396	3	TUBB3, TUBB4B, TUBA1B
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	0.874285714285714	0.996198078884265	0.0495901956956338	-0.253320683111954	-0.663119829847546	7	RARB, RARG, POLR2D, PCGF2, PIAS2, MEIS1, H2BC26
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	0.203960396039604	0.953169500216954	0.135002033828631	-0.541418842357516	-1.2362926715439	5	MCM10, CDC6, CDC25A
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	0.945344129554656	0.996198078884265	0.0487989701682839	-0.536792452830189	-0.721949273590611	1	YWHAZ
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	0.945344129554656	0.996198078884265	0.0487989701682839	-0.536792452830189	-0.721949273590611	1	YWHAZ
REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE	0.834008097165992	0.996198078884265	0.0545680646670941	-0.583018867924528	-0.784120652159926	1	APAF1
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	0.67578125	0.996198078884265	0.0628003977812234	-0.453686200378072	-0.851581654986147	3	SQLE, FASN, PPARA
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING	0.98046875	0.996198078884265	0.0454967810085007	-0.283725699158717	-0.532561052662249	3	GNG2, GNB3
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	0.226720647773279	0.984865803064939	0.128788713061714	-0.732766761095373	-1.19171523327899	2	TPSAB1, MMP15
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS	0.362683438155136	0.996198078884265	0.0999276973731092	0.400607680823003	1.07757763706787	7	CAMK2A, GRIN1, DLG2, NRGN
REACTOME_ACTIVATION_OF_RAC1	0.186234817813765	0.929589111895943	0.143758989039275	-0.89811320754717	-1.20790106934668	1	PAK5
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	0.000397730207186989	0.0141375010009193	0.49849310876659	-0.865412165136855	-1.97610913016053	5	RPS4Y1
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	0.481188118811881	0.996198078884265	0.0806388495950661	-0.440327396432677	-1.00545731086739	5	MCM10, CDC6, CDT1, POLA2
REACTOME_ACTIVATION_OF_TRKA_RECEPTORS	0.72244094488189	0.996198078884265	0.059989249649033	0.643396226415094	0.847923803731832	1	ADCYAP1R1
REACTOME_ACYL_CHAIN_REMODELLING_OF_PC	0.257085020242915	0.996198078884265	0.119887845115423	-0.864150943396226	-1.1622241381529	1	PLA2R1
REACTOME_ACYL_CHAIN_REMODELLING_OF_PE	0.0374345487693462	0.375305347918317	0.321775918075361	-0.864966949952786	-1.40671540423138	2	PLAAT1, PLA2R1
REACTOME_ACYL_CHAIN_REMODELLING_OF_PG	0.257085020242915	0.996198078884265	0.119887845115423	-0.864150943396226	-1.1622241381529	1	PLA2R1
REACTOME_ACYL_CHAIN_REMODELLING_OF_PI	0.257085020242915	0.996198078884265	0.119887845115423	-0.864150943396226	-1.1622241381529	1	PLA2R1
REACTOME_ACYL_CHAIN_REMODELLING_OF_PS	0.257085020242915	0.996198078884265	0.119887845115423	-0.864150943396226	-1.1622241381529	1	PLA2R1
