pathway	pval	padj	log2err	ES	NES	size	leadingEdge
WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME	0.531548757170172	0.970672800460034	0.0736212741014394	-0.597733711048159	-0.972891479303174	2	NOG, SMARCA5
WP_10Q22Q23_COPY_NUMBER_VARIATION	0.408163265306122	0.970672800460034	0.0913924325943768	0.784905660377359	1.06070710678559	1	MAS1
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	0.996175908221797	0.999746431190334	0.0438002031299891	-0.289896128423041	-0.47184468269522	2	B3GNT7, CRY2
WP_13Q1212_COPY_NUMBER_VARIATION	0.259656652360515	0.907010609527772	0.123257226381337	0.549668874172185	1.19523430880586	4	SNTB1, DTNA, SACS, DMD
WP_15Q11Q13_COPY_NUMBER_VARIATION	0.717525773195876	0.970672800460034	0.0625237414724762	0.411255981916705	0.807917902907674	3	GOLGA8K
WP_15Q25_COPY_NUMBER_VARIATION	0.0171760981547159	0.364704008872399	0.352487857583619	0.727530747398297	1.5819882675933	4	RYR2, C15orf40, PDE8A, HTT
WP_16P112_PROXIMAL_DELETION_SYNDROME	0.961678832116788	0.985264577392575	0.0432768714901103	-0.191695240750617	-0.538945563571497	9	CASP8, SEZ6L2, CCT6A, CCT7, HIRIP3, MAZ
WP_17P133_YWHAE_COPY_NUMBER_VARIATION	0.926070038910506	0.985074626865671	0.047925896705813	-0.536792452830189	-0.713410744530828	1	YWHAZ
WP_17Q12_COPY_NUMBER_VARIATION_SYNDROME	0.754416961130742	0.970672800460034	0.0529129848430583	-0.315628018713474	-0.756924257194852	6	SLFN11, TMEM132E, MIEN1, PCGF2
WP_1P36_COPY_NUMBER_VARIATION_SYNDROME	0.842201834862385	0.9782480893592	0.0495901956956338	-0.303667647844984	-0.678647016601665	5	SAMD11
WP_1Q211_COPY_NUMBER_VARIATION_SYNDROME	0.987755102040816	0.995437113344344	0.0471642455670861	0.50188679245283	0.678240601935015	1	BCL9
WP_22Q112_COPY_NUMBER_VARIATION_SYNDROME	0.797101449275362	0.970672800460034	0.051530912208539	-0.290889405979881	-0.738608771931549	7	HAND2, P2RX6, RAN, EMC10, VWF, HIRIP3
WP_2Q112_COPY_NUMBER_VARIATION_SYNDROME	0.170172084130019	0.828664061850528	0.14641623786055	-0.770529197751501	-1.25413922151422	2	IL6
WP_2Q13_COPY_NUMBER_VARIATION_SYNDROME	0.317164179104478	0.970672800460034	0.100990587455923	-0.555046423167657	-1.14326202108943	4	IL6
WP_2Q37_COPY_NUMBER_VARIATION_SYNDROME	0.37956204379562	0.970672800460034	0.0891647117820678	-0.37238715843136	-1.04695560610537	9	TWIST2, TRPM8, CALCRL
WP_3Q29_COPY_NUMBER_VARIATION_SYNDROME	0.400835073068894	0.970672800460034	0.0937465422491719	0.635340247461555	1.07200311759946	2	TM4SF19-AS1
WP_4P163_COPY_NUMBER_VARIATION	0.665970772442589	0.970672800460034	0.0667426134241917	0.51180358829084	0.863560972940837	2	PLCG1, UBE2J2
WP_5Q35_COPY_NUMBER_VARIATION	0.871559633027523	0.985074626865671	0.0480220415968251	-0.290844568052421	-0.64998955207877	5	DDX41, MYC, DBN1
WP_7OXOC_AND_7BETAHC_PATHWAYS	0.801670146137787	0.970672800460034	0.0578529757032509	0.46081208687441	0.77752353283234	2	ACOT11, ACOT8
WP_7Q1123_COPY_NUMBER_VARIATION_SYNDROME	0.233208955223881	0.907010609527772	0.120985142145252	-0.598864711447493	-1.23351714701851	4	CHTF18, MYC, HMGA1, SMARCA5
WP_ACE_INHIBITOR_PATHWAY	0.696907216494845	0.970672800460034	0.0639271933359996	0.421718606755166	0.828471869998934	3	NR3C2, MAS1
WP_ACUTE_MYELOID_LEUKEMIA	0.934990439770555	0.985074626865671	0.0466948041282054	-0.381491973559962	-0.620929158986544	2	MYC, PER2
WP_ACUTE_VIRAL_MYOCARDITIS	0.388990825688073	0.970672800460034	0.0880945010398517	-0.474382290793622	-1.06016603566573	5	IL6, CASP8
WP_ADHD_AND_AUTISM_ASD_PATHWAYS	0.260765550239234	0.907010609527772	0.130777137971974	0.302001537898612	1.17990057895815	20	DLGAP2, EGFR, SYT1, ALDH1L1, GRIN1, DLG2, DRD4, SLC6A1, GPHN, GABRD
WP_ADIPOGENESIS	0.145985401459854	0.793707037063284	0.155241966228839	-0.486092642947121	-1.36663525069936	9	IL6, PRLR, PTGIS, FRZB
WP_AEROBIC_GLYCOLYSIS	0.969387755102041	0.985264577392575	0.0480220415968251	0.512264150943396	0.692264373779536	1	ALDOA
WP_AEROBIC_GLYCOLYSIS_AUGMENTED	0.969387755102041	0.985264577392575	0.0480220415968251	0.512264150943396	0.692264373779536	1	ALDOA
WP_AFFECTED_PATHWAYS_IN_DUCHENNE_MUSCULAR_DYSTROPHY	0.319266055045872	0.970672800460034	0.0995791200495904	-0.50420722019726	-1.1268198247795	5	IL6, PLAU
WP_AGERAGE_PATHWAY	0.628755364806867	0.970672800460034	0.0709609456938284	0.393997178303805	0.85673205671437	4	EGFR
WP_ALLOGRAFT_REJECTION	0.11743119266055	0.711336932359479	0.175204047558551	-0.625254396159677	-1.39734026190189	5	COL5A1, CASP8, HLA-DQB1, HLA-DRB5
WP_ALPHA_6_BETA_4_SIGNALING	0.506122448979592	0.970672800460034	0.0795564677235957	0.728301886792453	0.984213805815473	1	LAMA1
WP_ALSTROM_SYNDROME	0.812619502868069	0.970672800460034	0.0531298054705469	-0.463644948064212	-0.754644101639587	2	VCP, RFX1
WP_ALTERED_GLYCOSYLATION_OF_MUC1_IN_TUMOR_MICROENVIRONMENT	0.0260502863480285	0.364704008872399	0.352487857583619	-0.984905660377358	-1.30896452950823	1	IL6
WP_ALZHEIMERS_DISEASE	0.700354609929078	0.970672800460034	0.0565299525056311	-0.259180588863575	-0.819934381316941	13	IL6, CASP8, TUBB3, WNT7B, FZD8, PSMD7, TUBB, APAF1, TUBB4B, TUBA1B
WP_ALZHEIMERS_DISEASE_AND_MIRNA_EFFECTS	0.700354609929078	0.970672800460034	0.0565299525056311	-0.259180588863575	-0.819934381316941	13	IL6, CASP8, TUBB3, WNT7B, FZD8, PSMD7, TUBB, APAF1, TUBB4B, TUBA1B
WP_AMINO_ACID_METABOLISM	0.137787056367432	0.77160751565762	0.172324344900946	0.764872521246459	1.29056160162745	2	FTCD, CPS1
WP_AMINO_ACID_METABOLISM_IN_TRIPLENEGATIVE_BREAST_CANCER_CELLS	0.53265306122449	0.970672800460034	0.0768736734126542	0.713207547169811	0.963815592223442	1	SLC7A11
WP_AMINO_ACID_METABOLISM_PATHWAY_EXCERPT_HISTIDINE_CATABOLISM_EXTENSION	0.228571428571429	0.907010609527772	0.128788713061714	0.885849056603774	1.19712016018229	1	FTCD
WP_AMINO_ACID_TRANSPORT_DEFECTS_IEMS	0.422178988326848	0.970672800460034	0.086794975677172	-0.804716981132075	-1.06948921807521	1	SLC1A1
WP_AMPACTIVATED_PROTEIN_KINASE_SIGNALING	0.651750972762646	0.970672800460034	0.0643583367917361	-0.676415094339623	-0.898972765955367	1	FASN
WP_AMPLIFICATION_AND_EXPANSION_OF_ONCOGENIC_PATHWAYS_AS_METASTATIC_TRAITS	0.108949416342412	0.701283599445414	0.188204146308491	-0.945283018867925	-1.25630503694181	1	POSTN
WP_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.844357976653696	0.9782480893592	0.0521630305460055	-0.583018867924528	-0.774846819191655	1	APAF1
WP_ANDROGEN_RECEPTOR_NETWORK_IN_PROSTATE_CANCER	0.049469964664311	0.554063604240283	0.271288554688953	-0.649808007514631	-1.5583389757732	6	CASP8, HGF, CDC25A, CDK4, MYC
WP_ANDROGEN_RECEPTOR_SIGNALING	0.360515021459227	0.970672800460034	0.101713902282311	0.497891174542025	1.08264564690971	4	EGFR
WP_ANGIOGENESIS	0.804081632653061	0.970672800460034	0.0566484183613995	0.590566037735849	0.798080106788194	1	PLCG1
WP_ANGIOPOIETINLIKE_PROTEIN_8_REGULATORY_PATHWAY	0.903930131004367	0.985074626865671	0.0543434390269162	0.263257575757576	0.625547240671857	5	THRB, MAP4K3, TRIP10, FASN, FLOT2
WP_ANGIOTENSIN_II_RECEPTOR_TYPE_1_PATHWAY	0.0283304410145284	0.386952365076485	0.352487857583619	-0.723289781359829	-1.48980283946626	4	COL1A2, COL1A1, PDGFD
WP_ANTIVIRAL_AND_ANTIINFLAMMATORY_EFFECTS_OF_NRF2_ON_SARSCOV2_PATHWAY	0.252895752895753	0.907010609527772	0.11776578836269	-0.642414706263212	-1.19260031404243	3	IL6
WP_APOPTOSIS	0.38768115942029	0.970672800460034	0.0875697115548511	-0.423925367830255	-1.07640563350523	7	IGF2, CASP8, MYC, BIRC5
WP_APOPTOSISRELATED_NETWORK_DUE_TO_ALTERED_NOTCH3_IN_OVARIAN_CANCER	0.814671814671815	0.970672800460034	0.053457214108991	-0.395085066162571	-0.733449233626206	3	BIRC5, ETS1, GCLC
WP_APOPTOSIS_MODULATION_AND_SIGNALING	0.73394495412844	0.970672800460034	0.0559428593065705	-0.348484848484849	-0.778806054689938	5	CASP8, BIRC5, APAF1, CFLAR, RIPK1
WP_APOPTOSIS_MODULATION_BY_HSP70	0.886100386100386	0.985074626865671	0.0495901956956338	-0.347826086956522	-0.645716071709196	3	CASP8, APAF1, RIPK1
WP_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY	0.934497816593886	0.985074626865671	0.052805004567129	0.249084448643428	0.591869347329442	5	RYR2
WP_ARYL_HYDROCARBON_RECEPTOR_PATHWAY_WP2586	0.842201834862385	0.9782480893592	0.0495901956956338	-0.303032135690831	-0.67722675194558	5	CYP1B1, CD36, MYC
WP_ARYL_HYDROCARBON_RECEPTOR_PATHWAY_WP2873	0.634655532359081	0.970672800460034	0.069119845655101	0.525592161261531	0.886826291438895	2	EGFR
WP_ASPIRIN_AND_MIRNAS	0.0669216061185468	0.624601657106437	0.241339976815091	-0.841795417447024	-1.37013451611178	2	H19
WP_ATM_SIGNALING	0.886100386100386	0.985074626865671	0.0495901956956338	-0.347826086956522	-0.645716071709196	3	CDC25A, ATM, RIPK1
WP_ATM_SIGNALING_IN_DEVELOPMENT_AND_DISEASE	0.770554493307839	0.970672800460034	0.0555947097758869	-0.491472893326416	-0.799937800709426	2	CDC25A
WP_ATR_SIGNALING	0.811284046692607	0.970672800460034	0.0540088272801684	-0.59811320754717	-0.794907578264578	1	RAD1
WP_AXON_GUIDANCE	0.51743119266055	0.970672800460034	0.0728938564822936	-0.437374268532334	-0.977459220908925	5	SEMA3A, L1CAM, NTN4, EFNB1
WP_BARDETBIEDL_SYNDROME	0.73469387755102	0.970672800460034	0.0609039347452418	0.623584905660377	0.842701199020761	1	TMEM67
WP_BASE_EXCISION_REPAIR	0.807933194154488	0.970672800460034	0.0574877409561325	0.453257790368272	0.764777245408859	2	PNKP, APEX2
WP_BDNFTRKB_SIGNALING	0.406185567010309	0.970672800460034	0.0922597260527354	0.527410207939508	1.03610444080274	3	GRIN1, PLCG1, GAB2
WP_BENZOAPYRENE_METABOLISM	0.0353588280918873	0.433228888761599	0.321775918075361	-0.879131255901794	-1.43090358172394	2	AKR1C3, CYP1B1
WP_BIOMARKERS_FOR_PYRIMIDINE_METABOLISM_DISORDERS	0.0745697896749522	0.626713670191931	0.227987202850442	-0.836525754198582	-1.36155743508315	2	UMPS
WP_BLADDER_CANCER	0.54639175257732	0.970672800460034	0.0760837160951725	0.473132573597467	0.929475298758321	3	EGFR
WP_BLOOD_CLOTTING_CASCADE	0.355212355212355	0.970672800460034	0.096240602328129	-0.590737240075614	-1.09666452396263	3	PLAU, PLAT, VWF
WP_BMP2WNT4FOXO1_PATHWAY_IN_PRIMARY_ENDOMETRIAL_STROMAL_CELL_DIFFERENTIATION	0.0230275275202701	0.364704008872399	0.352487857583619	-0.906515580736544	-1.47547522927496	2	LEFTY2, DCN
WP_BMP_SIGNALING_IN_EYELID_DEVELOPMENT	0.60125260960334	0.970672800460034	0.0718276293603809	0.544151933025359	0.918142004983331	2	EGFR
WP_BONE_MORPHOGENIC_PROTEIN_SIGNALING_AND_REGULATION	0.486381322957198	0.970672800460034	0.0791316651768349	-0.767924528301887	-1.02059111783496	1	NOG
WP_BRAINDERIVED_NEUROTROPHIC_FACTOR_BDNF_SIGNALING	0.555793991416309	0.970672800460034	0.077274697304471	0.425065057951811	0.924287993391832	4	CAMK2A, GRIN1
WP_BREAST_CANCER_PATHWAY	0.297356828193833	0.958922558922559	0.115734447701689	0.379812134405497	1.1486203022605	9	WNT16, EGFR
WP_BURN_WOUND_HEALING	0.00422392079975354	0.364704008872399	0.407017918923954	-0.675508274849442	-1.89917176065713	9	SFRP2, IL6, COL1A2, COL1A1, DCN
WP_B_CELL_RECEPTOR_SIGNALING	0.875545851528384	0.985074626865671	0.055826471778749	0.274621212121212	0.652549279837549	5	CAMK2A, PLCG1, GAB2, ETS1, MYC
WP_CALCIUM_MEDIATED_TCELL_APOPTOSIS_INVOLVED_IN_INCLUSION_BODY_MYOSITIS	0.804081632653061	0.970672800460034	0.0566484183613995	0.590566037735849	0.798080106788194	1	PLCG1
WP_CALCIUM_REGULATION_IN_CARDIAC_CELLS	0.654185022026432	0.970672800460034	0.0702812841717392	0.276031491281615	0.834768945561933	9	CACNA1B, RYR2, CAMK2A
WP_CANCER_PATHWAYS	0.363057324840764	0.970672800460034	0.0840745577910723	-0.269556273598132	-1.10218466160907	32	IL6, IGF2, LPAR4, STAT4, RARB, TGFA, BDKRB2, CASP8, HGF, WNT7B, GNG2, CDK4, MYC, GNB3, BIRC5, FZD8, ETS1, HEY2
WP_CANONICAL_AND_NONCANONICAL_NOTCH_SIGNALING	0.594646271510516	0.970672800460034	0.0679922591544058	-0.570702776787798	-0.928895022129303	2	MFAP2
WP_CARDIAC_PROGENITOR_DIFFERENTIATION	0.432862190812721	0.970672800460034	0.0802023444698144	-0.430164103294963	-1.03159930378047	6	ROR2, IGF2
WP_CARDIOMYOCYTE_SIGNALING_CONVERGING_ON_TITIN	0.373469387755102	0.970672800460034	0.0965629554309422	0.800943396226415	1.08238020872712	1	CAMK2A
WP_CATABOLISM_OF_SKELETAL_MUSCLE_IN_CACHEXIA	0.0260502863480285	0.364704008872399	0.352487857583619	-0.984905660377358	-1.30896452950823	1	IL6
WP_CCL18_SIGNALING	0.631274131274131	0.970672800460034	0.0655321029282414	-0.492106897383228	-0.913563831337984	3	COL1A2
WP_CELLS_AND_MOLECULES_INVOLVED_IN_LOCAL_ACUTE_INFLAMMATORY_RESPONSE	0.0260502863480285	0.364704008872399	0.352487857583619	-0.984905660377358	-1.30896452950823	1	IL6
WP_CELLTYPE_DEPENDENT_SELECTIVITY_OF_CCK2R_SIGNALING	0.202040816326531	0.892936399651505	0.138022242496643	0.90188679245283	1.21879326212382	1	RYR2
WP_CELL_CYCLE	0.158469945355191	0.814903805478942	0.148261500475107	-0.494833225943024	-1.32396633083641	8	CDC6, CDC25A, TTK, CDK4, MYC
WP_CELL_DIFFERENTIATION_EXPANDED_INDEX	0.103112840466926	0.701283599445414	0.193813302725311	-0.949056603773585	-1.26132022671004	1	LEFTY2
WP_CELL_DIFFERENTIATION_INDEX	0.103112840466926	0.701283599445414	0.193813302725311	-0.949056603773585	-1.26132022671004	1	LEFTY2
WP_CELL_INTERACTIONS_OF_THE_PANCREATIC_CANCER_MICROENVIRONMENT	0.356031128404669	0.970672800460034	0.0965629554309422	-0.826415094339623	-1.09832655924254	1	LAG3
WP_CELL_LINEAGE_MAP_FOR_NEURONAL_DIFFERENTIATION	0.0757238307349666	0.626713670191931	0.245041785430996	0.445321069651386	1.48372884990657	12	NANOG, SLC17A7, RBFOX3, ALDH1L1, AQP4, GRIN1, DLG2, SLC6A1, GPHN
WP_CEREBRAL_ORGANIC_ACIDURIAS_INCLUDING_DISEASES	0.704081632653061	0.970672800460034	0.0629394692018967	0.633962264150943	0.856724970865282	1	GCDH
WP_CHEMOKINE_SIGNALING	0.332695984703633	0.970672800460034	0.0995791200495904	-0.695939565627951	-1.13273462914129	2	GNG2, GNB3
WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY	0.640077821011673	0.970672800460034	0.0652353056017703	-0.682075471698113	-0.906495550607713	1	SQLE
WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES	0.395793499043977	0.970672800460034	0.0894366833718621	-0.664096390461555	-1.08090560691831	2	PRLR
WP_CHOLESTEROL_METABOLISM	0.361376673040153	0.970672800460034	0.0946646223153342	-0.68271954674221	-1.1112172820477	2	CD36, SQLE
WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS	0.376673040152964	0.970672800460034	0.0922597260527354	-0.677053824362606	-1.10199556186473	2	SQLE, FASN
WP_CHOLESTEROL_SYNTHESIS_DISORDERS	0.640077821011673	0.970672800460034	0.0652353056017703	-0.682075471698113	-0.906495550607713	1	SQLE
WP_CHROMOSOMAL_AND_MICROSATELLITE_INSTABILITY_IN_COLORECTAL_CANCER	0.349904397705545	0.970672800460034	0.0965629554309422	-0.687440982058546	-1.11890204886684	2	MYC, BIRC5
WP_CHRONIC_HYPERGLYCEMIA_IMPAIRMENT_OF_NEURON_FUNCTION	0.556420233463035	0.970672800460034	0.0721797965581253	-0.732075471698113	-0.972946815036771	1	MMP15
WP_CILIARY_LANDSCAPE	0.945255474452555	0.985264577392575	0.0440640346597561	-0.200570342205323	-0.563897651774268	9	MCM10, ERF, PSMD7, RNGTT, GLB1, NUDC, DNPEP, CDH23, CAMK2A
WP_CILIOPATHIES	0.232989690721649	0.907010609527772	0.128142916898415	0.623818525519849	1.22549987621829	3	ODAD1, TMEM67, CEP83
WP_CIRCADIAN_RHYTHM_GENES	0.713235294117647	0.970672800460034	0.0573667426768556	-0.269421062923445	-0.782484910407643	10	IL6
WP_CLEAR_CELL_RENAL_CELL_CARCINOMA_PATHWAYS	0.633867276887872	0.970672800460034	0.0738052724171275	0.332819023042081	0.845325120304082	6	EGFR
WP_CLOCKCONTROLLED_AUTOPHAGY_IN_BONE_METABOLISM	0.227522935779817	0.907010609527772	0.121543282035469	-0.55681894562235	-1.24439833783938	5	IL6, CTHRC1, SEMA3A
WP_COMMON_PATHWAYS_UNDERLYING_DRUG_ADDICTION	0.195278969957082	0.881905025612626	0.144630528034484	0.586243373722211	1.27476418350621	4	CAMK2A, GRIN1, DRD4
WP_COMPLEMENT_AND_COAGULATION_CASCADES	0.248134328358209	0.907010609527772	0.116739204791222	-0.591296121097446	-1.21792767280659	4	PLAU, PROS1, PLAT, VWF
WP_COMPLEMENT_SYSTEM	0.27151051625239	0.921490236977809	0.112378519110475	-0.721435316336166	-1.17423236996465	2	DCN, PROS1
WP_COMPLEMENT_SYSTEM_IN_NEURONAL_DEVELOPMENT_AND_PLASTICITY	0.374517374517374	0.970672800460034	0.0931454575337804	-0.584120982986768	-1.08438188129425	3	CASP8, PROS1, APAF1
WP_CONSTITUTIVE_ANDROSTANE_RECEPTOR_PATHWAY	0.751020408163265	0.970672800460034	0.0598603117764473	0.616037735849057	0.832502092224746	1	CYP3A5
WP_CORI_CYCLE	0.969387755102041	0.985264577392575	0.0480220415968251	0.512264150943396	0.692264373779536	1	ALDOA
WP_CORTICOTROPINRELEASING_HORMONE_SIGNALING	0.958955223880597	0.985264577392575	0.0444181153081573	-0.261397419805917	-0.538415761278773	4	CRHR1, GNB3
WP_COVID19_ADVERSE_OUTCOME_PATHWAY	0.0260502863480285	0.364704008872399	0.352487857583619	-0.984905660377358	-1.30896452950823	1	IL6
WP_CYSTEINE_AND_METHIONINE_CATABOLISM	0.775510204081633	0.970672800460034	0.0583452776743612	0.605660377358491	0.818478320380225	1	GCLC
WP_CYTOKINECYTOKINE_RECEPTOR_INTERACTION	0.363805970149254	0.970672800460034	0.0928481214159878	-0.53006038686382	-1.09179680093592	4	IL6, PRLR
WP_CYTOKINES_AND_INFLAMMATORY_RESPONSE	0.0260502863480285	0.364704008872399	0.352487857583619	-0.984905660377358	-1.30896452950823	1	IL6
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS	0.000714797701150619	0.200143356322173	0.477270815362862	-0.792299070685558	-2.01175784188594	7	RPS4Y1
WP_CYTOSOLIC_DNASENSING_PATHWAY	0.16023166023166	0.814903805478942	0.152144922367565	-0.691663668764307	-1.28402774802307	3	IL6, CASP8
WP_DDX1_AS_A_REGULATORY_COMPONENT_OF_THE_DROSHA_MICROPROCESSOR	0.93469387755102	0.985074626865671	0.0496901392724606	0.530188679245283	0.716487252420072	1	ATM
WP_DEGRADATION_PATHWAY_OF_SPHINGOLIPIDS_INCLUDING_DISEASES	0.859922178988327	0.985074626865671	0.0513223330421143	-0.571698113207547	-0.759801249886963	1	GLB1
WP_DENGUE2_INTERACTIONS_WITH_COMPLEMENT_AND_COAGULATION_CASCADES	0.248134328358209	0.907010609527772	0.116739204791222	-0.591296121097446	-1.21792767280659	4	PLAU, PROS1, PLAT, VWF
WP_DEREGULATION_OF_RAB_AND_RAB_EFFECTOR_GENES_IN_BLADDER_CANCER	0.313229571984436	0.970672800460034	0.104343952581949	-0.84811320754717	-1.12716390040987	1	RAB27B
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	0.0745697896749522	0.626713670191931	0.227987202850442	-0.834749763928234	-1.35866677362402	2	IL6, TOX
WP_DEVELOPMENT_OF_PULMONARY_DENDRITIC_CELLS_AND_MACROPHAGE_SUBSETS	0.348249027237354	0.970672800460034	0.0978773277424561	-0.829245283018868	-1.10208795156871	1	BATF3
