pathway	pval	padj	log2err	ES	NES	size	leadingEdge
ADA2_TARGET_GENES	0.988835725677831	1	0.0357690767485421	-0.109181944738793	-0.47559908240519	43	SCAND3, ATP6V1G2-DDX39B, GGN, MFAP2, SEMA3A, SLCO4A1, IPO4, PLEKHG3, DBN1, TATDN3, TEDC1, GALK2, NSA2, FAM98B, THEM4, POLR1B, RPS2, DLGAP4, AP3S2, NUMBL, UBE2I, HMGXB3, RNPS1, BCL9, EIF3D, PPP1R11, RTTN, UBE3B, OGFOD2, ZNF213-AS1, NPAS3, TRIM35, TIGD6, EME2, PIGL, DPY19L3, SSBP2, MCM3AP
ADCYAP1_TARGET_GENES	0.194605009633911	1	0.136490437780413	-0.886792452830189	-1.20280618546514	1	TMEFF2
ADNP_TARGET_GENES	0.260344827586207	1	0.108394255853397	-0.320130437183062	-1.18117348437546	24	GPR17, FBN3, KCNK5, CFAP107, COL15A1, TLE2, HGFAC, DOK4, EPHB2, WDR12
AEBP2_TARGET_GENES	0.993874425727412	1	0.0336033244336697	-0.10844940804857	-0.523627476649825	66	FAM156A, ABCA11P, PRR11, HOXC6, PIF1, TK1, RBM7, SS18, DOK4, WASF1, SPAG5, MYC, UBE2S, TDRKH, BZW2, SLC26A2, PAFAH1B3, SNX1, ZDHHC2, HAUS8, FRMD5, TUBB, TEDC1, GALK2, DIAPH1, PSIP1, POLR1B, VCP, CCT7, RTRAF, NRSN2, RNASEK, ACOT8, COQ8A, RNF5, TUBB4B, LANCL2, TRAF7, NACA, HNRNPUL1, HSP90AB1, NMT1, PCBP1-AS1, RFX1, OGFOD2, IGFL4, PCGF3-AS1, STRIP2, ORC6, KDM3A, TRIP10, PER2
AHRR_TARGET_GENES	1	1	0.0340463727579649	-0.0764078907313948	-0.362381179746791	62	RNF43, CYP1B1, HUNK, TGFA, KNL1, PDAP1, BAMBI, CNN2, SS18, ACAN, UBE2S, CPLANE2, WDR54, TDRKH, KLF10, SLC38A1, GPANK1, RARG, ADARB1, TEDC1, THEM4, RAD1, SEC63, FBL, RYBP, ATP1B3, TM2D3, TUBA1B-AS1, MRPS2, YWHAZ, AP3S2, TUBB4B, TUBA1B, MORF4L2, HMGXB3, PA2G4, HNRNPUL1
ALKBH3_TARGET_GENES	0.465034965034965	1	0.0758886900606117	-0.302103250478011	-0.989110230811801	15	ATP6V1G2-DDX39B, IPO4, TATDN3, TEDC1, GALK2, NSA2, THEM4, AP3S2, RTTN, UBE3B, ZNF213-AS1, CRYZL1, PRKG1-AS1, EME2, MCM3AP
ALX4_TARGET_GENES	0.597302504816956	1	0.0681513438679483	-0.688679245283019	-0.934094165308037	1	MLLT3
ARHGAP35_TARGET_GENES	0.386877828054299	1	0.100633389423036	0.390891840607211	1.03529412675664	7	LINC02327, RAD51D, BAZ2B, UBE2I, RPL12, SEC63, DCHS1
ARID3B_TARGET_GENES	0.766071428571429	1	0.0526973085708419	-0.312796208530806	-0.756602546884291	6	MYH11, MYC, GSE1, RBM4, ZNF84, DPP3-DT
ARID5B_TARGET_GENES	0.218085106382979	1	0.153158808683073	0.242345527587464	1.19420241841803	44	RPPH1, CSKMT, ODAD1, LINC02427, TSPAN5-DT, MADCAM1, URB1-AS1, NT5E, PANK2-AS1, CD226, HTT, GPHN, WASL-DT, ERVK13-1, SSBP2, C2orf92, GCDH, DLGAP1-AS1, KDM3A, CCDC66, IRF2-DT, GATB, PCGF3-AS1, SPRYD4, RTTN, RCOR3, NMT1, ERVK3-1, BCL9, PA2G4, UBE2I, HDGF, WDR1
