pathway	pval	padj	log2err	ES	NES	size	leadingEdge
CAR_HPX	0.555555555555556	0.940737842127003	0.0723570851036907	-0.511371937444118	-0.939299322276034	3	HP, HGFAC
CAR_IGFBP1	1	1	0.044774889329693	-0.264225781266595	-0.42492132697811	2	HGFAC
CAR_MLANA	0.464212678936605	0.927413453419645	0.0843144320642653	0.773584905660377	1.03856195919045	1	SULT4A1
CAR_TNFRSF25	0.464212678936605	0.927413453419645	0.0843144320642653	0.773584905660377	1.03856195919045	1	SULT4A1
CAR_WBSCR22	0.464212678936605	0.927413453419645	0.0843144320642653	0.773584905660377	1.03856195919045	1	SULT4A1
GCM_ACTG1	0.0957446808510638	0.703900709219858	0.191892240384838	-0.486666666666667	-1.4395642040322	11	ATP1B3, ACTG1, MAZ, RPL6, YWHAZ, RPL4, SRSF9, NACA, HSP90AB1, NAP1L1, PTMA
GCM_AIP	0.339147286821705	0.848946915968193	0.0992333343771191	-0.833018867924528	-1.11796607836051	1	TRIP13
GCM_ANP32B	0.486707566462168	0.927413453419645	0.0817515582532145	0.5	0.994297897415362	3	NAP1L1, NACA, SRSF9
GCM_APEX1	0.17420814479638	0.733917556926249	0.158514105424824	0.435775451950523	1.29977786851875	10	POLG, PTMA, NAP1L1, NACA, SRSF9, YWHAZ, RPL6, MAZ, ACTG1, CCT7
GCM_AQP4	0.184049079754601	0.733917556926249	0.14551614609036	0.646502835538752	1.2856328200985	3	SLC4A4, AQP4, DTNA
GCM_ATM	0.623983739837398	0.940737842127003	0.0686325631836726	0.530689329556185	0.895025839213791	2	HTT, ATM
GCM_BAG5	0.587209302325581	0.940737842127003	0.0692836467392548	-0.70188679245283	-0.941978213250532	1	GPR153
GCM_BCL2L1	0.62984496124031	0.940737842127003	0.0658311958368866	-0.671698113207547	-0.901463021282767	1	RAN
GCM_BECN1	0.523517382413088	0.932001797390116	0.0778840111977068	0.486767485822306	0.967983775366562	3	HTT, RNPS1, MAPRE1
GCM_BMPR2	0.911764705882353	0.986224028906956	0.0489954089862481	-0.413597733711048	-0.665137584232611	2	RAN, ZNF84
GCM_BNIP1	0.809701492537313	0.983349387642769	0.0521630305460055	-0.349645198998024	-0.722472713562695	4	LPAR4
GCM_CALM1	0.911764705882353	0.986224028906956	0.0489954089862481	-0.413597733711048	-0.665137584232611	2	RAN, ZNF84
GCM_CBFB	0.352173913043478	0.848946915968193	0.103958471559957	0.435071090047393	1.09005006382305	6	POLG, NAP1L1, SRSF9, UBE2I, YWHAZ, ACTG1
GCM_CDH5	0.115009746588694	0.714028776978417	0.183023938384487	-0.746555823252058	-1.37129030256674	3	COL14A1, CALCRL
GCM_CHUK	0.932170542635659	0.99364173256771	0.0474483193656297	-0.539622641509434	-0.724209056423796	1	ACOT8
GCM_CRKL	0.791411042944785	0.982438878950507	0.0574877409561325	0.586792452830189	0.787787242215197	1	ZNF84
GCM_CSNK1D	0.587209302325581	0.940737842127003	0.0692836467392548	-0.70188679245283	-0.941978213250532	1	GPR153
GCM_CSNK2B	0.178733031674208	0.733917556926249	0.156312403073186	0.433872502378687	1.29410198263002	10	POLG, PTMA, HSP90AB1, NACA, SRSF9, RPL4, YWHAZ, RPL6, ACTG1, ATP1B3
GCM_DDX5	0.451492537313433	0.927413453419645	0.0808589150280032	-0.491012298959319	-1.01457989138241	4	MAZ, YWHAZ, MAPRE1, NAP1L1
GCM_DEAF1	0.587209302325581	0.940737842127003	0.0692836467392548	-0.70188679245283	-0.941978213250532	1	GPR153
GCM_DENR	0.932170542635659	0.99364173256771	0.0474483193656297	-0.539622641509434	-0.724209056423796	1	ACOT8
GCM_DFFA	0.82261208576998	0.983349387642769	0.053457214108991	-0.392249527410208	-0.720492636144637	3	RAN, PA2G4, WDR70
GCM_DPF2	0.87015503875969	0.986224028906956	0.0506004243853618	-0.562264150943396	-0.75459545039962	1	SUPT4H1
GCM_ERBB2IP	0.00663904819348204	0.464301206956006	0.407017918923954	-0.997169811320755	-1.33826743468523	1	FAM156A
