pathway	pval	padj	log2err	ES	NES	size	leadingEdge
MODULE_1	0.00000150820730730588	0.000174952047647482	0.643551836150722	-0.633515383379011	-2.49270584765132	28	IGHG3, IL6, MXRA5, ROR2, LUM, COL3A1, COL1A2, COL1A1, IGHM, MYH11, FBLN1, MFAP2, COL15A1, PTGIS, PCOLCE, PRSS23, NID2, MFAP4, IGFBP4, MYC, TM4SF1, PLAT, KLF10, DBN1
MODULE_100	0.17329093799682	0.527178756014971	0.130777137971974	-0.312735539600955	-1.27763126748291	32	RPS4Y1, CRABP1, MYH11, ALDH1A3, FRZB, L1CAM, TLE2, SOX10, NID2, EEF1A2, APOD, PPL, COL9A3
MODULE_102	0.0575815738963532	0.325385694249649	0.261663521711573	-0.972641509433962	-1.31219925299707	1	UMPS
MODULE_104	0.675392670157068	0.90415296553404	0.0574877409561325	-0.264217023020521	-0.810191704718501	12	GPR17, L1CAM, REPS2, S100A4, SOX10
MODULE_105	0.027784410809584	0.205722871526281	0.352487857583619	-0.519067866227581	-1.70619254828462	16	LUM, UMPS, COL3A1, CYP1B1, COL15A1, CCNF, PDLIM4, PAFAH1B3, SNX1, BIRC5, ERF
MODULE_106	0.236084452975048	0.565405191202695	0.122107920287081	-0.878301886792453	-1.18492483466563	1	CYP1B1
MODULE_107	0.0171917856691032	0.149568535321198	0.352487857583619	-0.681214421252372	-1.73317217026096	7	HP, TPSAB1, ENPEP, PLAU, PRSS23, MMP15, PLAT
MODULE_108	0.324376199616123	0.675945613571322	0.101350743797099	-0.832075471698113	-1.12256036968323	1	PLAU
MODULE_109	0.0210773022654124	0.170579097403803	0.352487857583619	-0.700672951203549	-1.56267859120275	5	HP, TPSAB1, PLAU, PRSS23
MODULE_11	0.763496143958869	0.90415296553404	0.0702812841717392	0.18588075965557	0.798858473413034	27	CORT, SV2B, SLC17A7, KCNJ4, SYT1, EDNRB, AQP4, GRIN1, SULT4A1
MODULE_111	0.55125284738041	0.850630694721865	0.0808589150280032	0.299569249185102	0.914268722359552	9	FUT3, KCNJ4, ITIH4
MODULE_112	0.0594405594405594	0.328338328338328	0.245041785430996	-0.489261077942755	-1.54774159803309	14	LUM, COL3A1, IGF2, CYP1B1, TGFA, ALDH1A3, COL15A1
