pathway	pval	padj	log2err	ES	NES	size	leadingEdge
GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	0.869747899159664	0.99534309811995	0.0543434390269162	0.429305454298812	0.716509600664317	2	ALDH1L1
GOBP_5_PHOSPHORIBOSE_1_DIPHOSPHATE_METABOLIC_PROCESS	0.844106463878327	0.99534309811995	0.0511147954416412	-0.578301886792453	-0.766388679856355	1	PRPSAP2
GOBP_7_METHYLGUANOSINE_RNA_CAPPING	0.730038022813688	0.990361658855779	0.0578529757032509	-0.641509433962264	-0.850153837361046	1	RNGTT
GOBP_ACETYL_COA_METABOLIC_PROCESS	0.918238993710692	0.99534309811995	0.0517405459873163	0.541509433962264	0.724785925745149	1	AASS
GOBP_ACIDIC_AMINO_ACID_TRANSPORT	0.496760259179266	0.945291366981904	0.0835990603684159	0.39455781884312	0.955027677214637	5	SLC17A7, SLC6A1, SLC7A11, PER2
GOBP_ACID_SECRETION	0.327731092436975	0.894296183701467	0.106323255932708	0.677053824362606	1.13000093631385	2	SLC6A1, CASR
GOBP_ACROSOME_ASSEMBLY	0.342205323193916	0.894296183701467	0.09754492162472	-0.835849056603774	-1.10770044103219	1	KNL1
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	0.272138228941685	0.894296183701467	0.120433371642259	0.472419598166739	1.14349220814008	5	MYO1A, RYR2
GOBP_ACTIN_FILAMENT_BASED_PROCESS	0.888888888888889	0.99534309811995	0.0404934829859503	-0.153204650228786	-0.681255281718205	43	RFLNA, MYH11, HMCN1, TMEFF2, ARHGAP28, PLS3, SCN1A, FGF12, ARHGEF15, CNN2, WASF1, MAGEL2, PDLIM4, DBN1, RAN, TMOD1, FRMD5, CDK10
GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	0.0317784955878729	0.485092300251019	0.321775918075361	-0.614332055722266	-1.64547596648528	8	RFLNA, TMEFF2, ARHGAP28, PLS3, ARHGEF15
GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION	0.732447817836812	0.991434891547066	0.057609110864425	-0.508970727101039	-0.825571036804089	2	TMOD1, WDR1
GOBP_ACTIN_FILAMENT_NETWORK_FORMATION	0.317490494296578	0.894296183701467	0.102080107662747	-0.850943396226415	-1.1277040607348	1	PLS3
