pathway	pval	padj	log2err	ES	NES	size	leadingEdge
GOMF_14_3_3_PROTEIN_BINDING	0.42603550295858	1	0.0870515867946735	-0.786792452830189	-1.04954449703171	1	RBM7
GOMF_1_ALKYL_2_ACETYLGLYCEROPHOSPHOCHOLINE_ESTERASE_ACTIVITY	0.603550295857988	1	0.0687943095604775	-0.692452830188679	-0.923699833119033	1	PAFAH1B3
GOMF_1_PHOSPHATIDYLINOSITOL_3_KINASE_ACTIVITY	0.9375	1	0.0489954089862481	0.530188679245283	0.70072165337968	1	ATM
GOMF_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_5_KINASE_ACTIVITY	0.715976331360947	1	0.0605092988656667	-0.642452830188679	-0.857002161245315	1	PIP4K2C
GOMF_2_IRON_2_SULFUR_CLUSTER_BINDING	0.788306451612903	1	0.0570059526582387	0.611320754716981	0.807949522046322	1	FECH
GOMF_2_OXOGLUTARATE_DEPENDENT_DIOXYGENASE_ACTIVITY	0.804123711340206	1	0.0571258510018113	0.385633270321361	0.733612312762871	3	KDM8, KDM3A, P3H3
GOMF_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_ACTIVITY	0.473790322580645	1	0.0824344091527096	0.776415094339623	1.02614576642612	1	PDE8A
GOMF_3_5_DNA_EXONUCLEASE_ACTIVITY	0.760824742268041	1	0.0597317976364411	0.402646502835539	0.765977561855351	3	POLG, APEX2, RAD1
GOMF_3_5_EXONUCLEASE_ACTIVITY	0.647186147186147	1	0.0699458736501659	0.403027436140019	0.852215517746208	4	POLG, USB1, APEX2, RAD1
GOMF_4_GALACTOSYL_N_ACETYLGLUCOSAMINIDE_3_ALPHA_L_FUCOSYLTRANSFERASE_ACTIVITY	0.0786290322580645	1	0.227987202850442	0.966981132075472	1.27800657422451	1	FUT3
GOMF_4_IRON_4_SULFUR_CLUSTER_BINDING	0.860887096774194	1	0.0529129848430583	0.571698113207547	0.755582423395171	1	ETFDH
GOMF_5ALPHA_ANDROSTANE_3BETA_17BETA_DIOL_DEHYDROGENASE_ACTIVITY	0.21301775147929	1	0.131457611642763	-0.894339622641509	-1.19300741389216	1	AKR1C3
GOMF_5_3_DNA_HELICASE_ACTIVITY	0.308151093439364	1	0.106729884364606	-0.685552407932011	-1.13741322862871	2	PIF1, ZGRF1
GOMF_5_3_EXONUCLEASE_ACTIVITY	0.226824457593688	1	0.126875729929857	-0.885849056603774	-1.18168139414002	1	EXOG
GOMF_5_DEOXYRIBOSE_5_PHOSPHATE_LYASE_ACTIVITY	0.726	1	0.0605092988656667	0.484103626766151	0.817758627454568	2	POLG
GOMF_5_N_7_METHYLGUANOSINE_5_TRIPHOSPHO_MRNA_HYDROLASE_ACTIVITY	0.905325443786982	1	0.0495901956956338	-0.55188679245283	-0.736191283889147	1	DCP1B
GOMF_7S_RNA_BINDING	0.355029585798817	1	0.09754492162472	-0.825471698113208	-1.1011408092359	1	SRP68
GOMF_ABC_TYPE_TRANSPORTER_ACTIVITY	0.707753479125249	1	0.0614364107201271	-0.498672326389903	-0.82735687924705	2	ABCA10
GOMF_ACETYLATION_DEPENDENT_PROTEIN_BINDING	0.611439842209073	1	0.0681513438679483	-0.688679245283019	-0.918666046562526	1	MLLT3
GOMF_ACETYLCHOLINE_BINDING	0.136094674556213	1	0.16823816568964	-0.938679245283019	-1.25215440593111	1	CHRNA1
GOMF_ACETYLCHOLINE_GATED_MONOATOMIC_CATION_SELECTIVE_CHANNEL_ACTIVITY	0.136094674556213	1	0.16823816568964	-0.938679245283019	-1.25215440593111	1	CHRNA1
GOMF_ACETYLCHOLINE_RECEPTOR_ACTIVITY	0.136094674556213	1	0.16823816568964	-0.938679245283019	-1.25215440593111	1	CHRNA1
GOMF_ACETYLESTERASE_ACTIVITY	0.629191321499014	1	0.0667426134241917	-0.681132075471698	-0.908598473449512	1	CEL
GOMF_ACETYLGALACTOSAMINYLTRANSFERASE_ACTIVITY	0.207100591715976	1	0.133554954557592	-0.897169811320755	-1.19678275380954	1	GALNT5
GOMF_ACETYLGLUCOSAMINYLTRANSFERASE_ACTIVITY	0.359840954274354	1	0.0972150808846466	-0.659112370160529	-1.093546051767	2	B3GNT7, RFNG
