pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HP_11_PAIRS_OF_RIBS	0.882105263157895	0.999008335806199	0.05378728077603	0.347410871806323	0.671611913290603	3	RNU4ATAC, GABRD
HP_2_3_TOE_CUTANEOUS_SYNDACTYLY	0.536926147704591	0.949243361008067	0.0753093764172773	-0.733018867924528	-0.976874354093694	1	BCOR
HP_2_3_TOE_SYNDACTYLY	0.889943074003795	0.999008335806199	0.0486034247259069	-0.343036149443886	-0.639549254196042	3	NOG, BCOR
HP_3_4_FINGER_SYNDACTYLY	0.812375249500998	0.999008335806199	0.0551351763385257	-0.594339622641509	-0.792060287102996	1	EFNB1
HP_3_METHYLGLUTACONIC_ACIDURIA	0.412350597609562	0.909928209878585	0.0894366833718621	0.788679245283019	1.06090295649355	1	POLG
HP_4_5_FINGER_SYNDACTYLY	0.906374501992032	0.999008335806199	0.0499913914024592	0.533962264150943	0.718266834181037	1	RTTN
HP_ABDOMINAL_AORTIC_ANEURYSM	0.0588235294117647	0.476610866227527	0.257206466468838	-0.769116075952198	-1.43392354876546	3	PTPN22, MYH11
HP_ABDOMINAL_CRAMPS	0.412350597609562	0.909928209878585	0.0894366833718621	0.788679245283019	1.06090295649355	1	POLG
HP_ABDOMINAL_DISTENTION	0.406631762652705	0.909928209878585	0.0828962134571565	-0.37231018926438	-1.03909139159438	9	MYH11, STAT4, BMPER, HLA-DQB1, SLC26A2
HP_ABDOMINAL_MASS	0.675298804780876	0.972118805328038	0.0637845390312975	0.657547169811321	0.884508804636366	1	ALK
HP_ABDOMINAL_OBESITY	0.974736842105263	0.999008335806199	0.0491927521045191	0.280718336483932	0.54268243846679	3	CDH23, ZPR1, MAGEL2
HP_ABDOMINAL_PAIN	0.186006825938567	0.708153277536606	0.130777137971974	-0.362797602938885	-1.286495903264	20	H19, IL6, PTPN22, STAT4, TRIP13, SOX10, HLA-DQB1, BCOR, MYC
HP_ABDUCENS_PALSY	0.459119496855346	0.920516737785426	0.0862865626267245	0.624173748819641	1.02648061907079	2	CDH23, TMEM67
HP_ABLEPHARON	0.44952380952381	0.920516737785426	0.0822054920415869	-0.632993787065271	-1.04565147014336	2	TWIST2
HP_ABNORMALITIES_OF_PLACENTA_OR_UMBILICAL_CORD	0.100884955752212	0.580603214737222	0.186432558434075	-0.636673575729673	-1.41613609596873	5	TWIST2, IGF2
HP_ABNORMALITY_IRIS_MORPHOLOGY	0.0473589686439904	0.465650517147523	0.321775918075361	-0.403054692452854	-1.57722797379914	29	H19, HMX1, DLX5, PCDH15, COL3A1, VSX1, MYH11, CYP1B1, DCT, TRIP13, SOX10, TUBB3
HP_ABNORMALITY_OF_ACID_BASE_HOMEOSTASIS	0.580589254766031	0.949243361008067	0.0643583367917361	-0.262691873004758	-0.895187742904117	17	IL6, PTPN22
HP_ABNORMALITY_OF_ADRENAL_PHYSIOLOGY	0.873831775700935	0.999008335806199	0.0590954798717342	0.26824644549763	0.670002363245215	6	NR3C2, CDH23, GATB, TRAF7, MAGEL2, BCOR
HP_ABNORMALITY_OF_ALKALINE_PHOSPHATASE_LEVEL	0.49822695035461	0.940244406038267	0.0730744399126987	-0.337773549000951	-0.973970372727352	10	NPR3, BGN, PIGK, ALPL, VCP, GPAA1, TMEM67, TRPS1, PIGL, BCR
HP_ABNORMALITY_OF_BLOOD_AND_BLOOD_FORMING_TISSUES	0.00374014120578683	0.258785569322779	0.431707695803346	-0.348203114990313	-1.77134369989004	80	IGHG1, IGKC, RNF43, IGHG2, UMPS, PTPN22, COL3A1, COL1A2, COL1A1, IGHM, HAND2, COL14A1, MYH11, HMCN1, PRLR, STAT4, COL5A1, SMC5, MCM10, CASP8, TRIP13, PLAU, SRP68, SLC5A2, CD36, UBR1, BGN, DDX41, KIF11
HP_ABNORMALITY_OF_BLOOD_CIRCULATION	0.0443686006825939	0.465650517147523	0.282013350011725	-0.455088913846976	-1.61376486101983	20	PTPN22, COL3A1, MYH11, HMCN1, STAT4, SMC5, PLAU, BCOR, MYC, PROS1, EPHB2, HEY2, ALPL, VWF, SEC63
HP_ABNORMALITY_OF_BODY_MASS_INDEX	0.50314465408805	0.940244406038267	0.0813027345384498	0.606232294617564	0.996975124725336	2	HTT, GCLC
HP_ABNORMALITY_OF_BONE_MINERAL_DENSITY	0.266331658291457	0.820816894491283	0.105125131597001	-0.292352987017328	-1.15786737008093	30	COL1A2, COL1A1, SLC34A2, KL, PRLR, COL5A1, SEMA3A, SOX10, HLA-DQB1, MAGEL2, PDLIM4, ZNF469, SLC26A2
HP_ABNORMALITY_OF_CANINE	0.311377245508982	0.853692614770459	0.106323255932708	-0.856603773584906	-1.14157260426908	1	TGFA
HP_ABNORMALITY_OF_CARDIOVASCULAR_SYSTEM_ELECTROPHYSIOLOGY	0.779487179487179	0.999008335806199	0.0498907356726307	-0.213872309749588	-0.73911909015837	18	PTPN22, HAND2, SEMA3A, SCUBE3, SOX10
HP_ABNORMALITY_OF_CARTILAGE_OF_EXTERNAL_EAR	0.677290836653386	0.972118805328038	0.0636424081651019	0.654716981132075	0.880701736610671	1	EDN1
HP_ABNORMALITY_OF_CENTRAL_NERVOUS_SYSTEM_ELECTROPHYSIOLOGY	0.423180592991914	0.917114301189897	0.105920292736253	0.23059787454482	1.04334598468323	33	CACNA1B, SH3TC2, SYNGAP1, SYT1, EDNRB, KCNT1, LGI1, CAMK2A, GRIN1, POLG, SLC6A1, GABRD, PIGL, FKTN, FARS2, PNKP, CRPPA, SPG11, SACS, AASS, KCTD7, RTTN
