pathway	pval	padj	log2err	ES	NES	size	leadingEdge
GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_DN	0.357833655705996	0.996728013890342	0.0959206777921745	-0.423542467842548	-1.08688400281931	7	PTPN22, STAT4
GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP	0.00740434730050327	0.949359639884109	0.407017918923954	-0.516197649178562	-1.87683757737668	20	HP, MCM10, TK1, CDC6, BATF3, LAG3, S100A4, TUBB3, KIF11, CDCA8, TTK, CCNF, BIRC5, SQLE, RAN
GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_DN	0.000793826080748137	0.672618432486727	0.477270815362862	-0.602761744673129	-2.10195551549615	17	IGKC, JCHAIN, MCM10, TK1, CDC6, BATF3, LAG3, S100A4, KIF11, CDCA8, TTK, KIFC1, CCNF
GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_UP	0.795246800731261	0.996821539960004	0.0520570030732099	-0.242600068681194	-0.728675744791224	11	IGHM, IPO4, FASN, ARMCX2, NSMCE1, WDR46
GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_DN	0.606946983546618	0.996821539960004	0.0647943366000727	-0.293668084158358	-0.882064094659062	11	PTPN22, TK1, S100A4
GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_UP	0.352833638025594	0.996728013890342	0.0934449219410994	-0.366585782798507	-1.10108034908105	11	TUBB3, PDLIM4, BZW2, FASN, TUBB, NSMCE1, DAP, TUBA1B, RBM4, RPS25
GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_DN	0.897540983606557	0.998665205083155	0.0517405459873163	0.352429516624256	0.663446543170585	3	IQSEC3, PLIN5
GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_UP	0.384761904761905	0.996728013890342	0.0908241419007155	-0.513287223031711	-1.08217966879449	4	TEX14
GSE10147_IL3_AND_HIVP17_VS_IL3_AND_CPG_STIM_PDC_DN	0.528046421663443	0.996728013890342	0.0745500777420554	-0.365917769592827	-0.93900895497831	7	MEX3B, L1CAM, FLOT2, GPANK1
GSE10147_IL3_AND_HIVP17_VS_IL3_AND_CPG_STIM_PDC_UP	0.425531914893617	0.996728013890342	0.0860347242455604	-0.404433991256492	-1.03784831195831	7	TEX14, FBLN1, ENPEP, CLEC2D
GSE10147_IL3_VS_IL3_AND_CPG_STIM_PDC_DN	0.540796963946869	0.996728013890342	0.0723570851036907	-0.335551330798479	-0.9284501055128	9	SMC5, DDX41, PROS1, PDLIM4, THOC3, FAM98B, WDR91, MLH3, SNX29
GSE10147_IL3_VS_IL3_AND_CPG_STIM_PDC_UP	0.0739299610894942	0.949359639884109	0.231126709673834	-0.751958585431715	-1.44699451642161	3	FAM156A
GSE10147_IL3_VS_IL3_AND_HIVP17_STIM_PDC_DN	0.162705667276051	0.958805420173691	0.14641623786055	-0.441365703808577	-1.32568999133572	11	OSR2, COL14A1, PLAAT1, SDK1
GSE10147_IL3_VS_IL3_AND_HIVP17_STIM_PDC_UP	0.717021276595745	0.996821539960004	0.0640703750499722	0.269267364414843	0.813439526459254	10	RYR2, COG3, NAPB, DOCK8, B3GALT1, RFX1, ZDHHC9, VAT1, ARMCX2, BCOR
GSE10211_UV_INACT_SENDAI_VS_LIVE_SENDAI_VIRUS_TRACHEAL_EPITHELIAL_CELLS_DN	0.30550284629981	0.995387534666472	0.104343952581949	-0.413617512035047	-1.14445447668784	9	COL15A1, LAG3, S100A4, MYC, KLF8, RARG
GSE10211_UV_INACT_SENDAI_VS_LIVE_SENDAI_VIRUS_TRACHEAL_EPITHELIAL_CELLS_UP	0.81015037593985	0.996821539960004	0.0524827622635459	-0.244844423262396	-0.703345024729205	10	VSX1, FBLN1
GSE10239_KLRG1INT_VS_KLRG1HIGH_EFF_CD8_TCELL_DN	0.746615087040619	0.996821539960004	0.057609110864425	-0.300912514635336	-0.772194108589041	7	PTPN22
GSE10239_KLRG1INT_VS_KLRG1HIGH_EFF_CD8_TCELL_UP	0.771324863883848	0.996821539960004	0.0531298054705469	-0.242688206829477	-0.749420351571717	12	EXOG, TMEM132E, POLR2D, WDR46, RAD1, SUPT4H1, HMGXB3, EIF3D, ALDOA, SPRYD4, GCN1
GSE10239_MEMORY_VS_DAY4.5_EFF_CD8_TCELL_DN	0.289473684210526	0.992195677514511	0.107140237276725	-0.404368076906104	-1.16159588714188	10	MCM10, RBM7, PPP1R7, MEMO1, SQLE, RPS2, MORF4L2, RRM1, SRSF9
GSE10239_MEMORY_VS_DAY4.5_EFF_CD8_TCELL_UP	0.912248628884826	0.998665205083155	0.04577044581081	-0.203845729571423	-0.612272863834856	11	DACT2, EEF1A2, COL9A3, MYC
GSE10239_MEMORY_VS_KLRG1HIGH_EFF_CD8_TCELL_DN	0.16	0.958805420173691	0.151148761385484	-0.615701263795223	-1.2981024265416	4	TK1, RBM7, KIFC1
GSE10239_MEMORY_VS_KLRG1HIGH_EFF_CD8_TCELL_UP	0.945175438596491	0.998665205083155	0.0524827622635459	0.190358337804382	0.587837438121722	11	COL25A1, ALDH1L1, SLC22A18
GSE10239_MEMORY_VS_KLRG1INT_EFF_CD8_TCELL_DN	0.844074844074844	0.998477325958131	0.0552495663125249	0.272037914691943	0.68788994812069	6	DOC2A, PIGL, TRIM35, TEDC1, MED7, CCNF
