pathway	pval	padj	log2err	ES	NES	size	leadingEdge
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_1DY_DN	0.524528301886792	0.861725067385445	0.0736212741014394	-0.50945179584121	-0.960953716227263	3	ARID3A, YWHAZ, WDR1
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_1DY_UP	0.382488479262673	0.814558798429766	0.102449405629826	0.452651515151515	1.05829896885754	5	CAMK2A, RFX4, KCTD7, ZNF160, NRSN2
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_3DY_DN	0.373626373626374	0.807703200226565	0.0902635484340068	-0.515610217596973	-1.07943369475598	4	S100A4, ZNG1F, ACTG1, MAPRE1
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_3DY_UP	0.678500986193294	0.917520215633423	0.0630790410571939	0.664150943396226	0.886393948442322	1	RFX4
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_6HR_DN	0.847985347985348	0.974287828338883	0.0491927521045191	-0.332495634534825	-0.696081999594313	4	EXOG, ITPRIPL1
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_6HR_UP	0.317554240631164	0.799296782370498	0.104343952581949	0.838679245283019	1.11932417637106	1	SLC4A4
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_7DY_UP	0.216589861751152	0.740164019516246	0.142056643575821	0.53030303030303	1.23984816435193	5	CAMK2A, RFX4, DTNA, KCTD7, ZNF160
DHIMAN_PBMC_ATTENUVAX_AGE_15_25YO_SUBQ_7_OR_14DY_DN	0.363636363636364	0.807703200226565	0.09754492162472	-0.812264150943396	-1.09432632142269	1	HGF
DHIMAN_PBMC_ATTENUVAX_AGE_15_25YO_SUBQ_7_OR_14DY_UP	0.993362831858407	0.998571428571429	0.0506004243853618	0.191108384221306	0.490175977061968	6	RYR2
ERWIN_COHEN_BLOOD_LIVE_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_14DY_UP	0.000334992781227505	0.0110069056689037	0.49849310876659	-0.513347661494823	-2.13086796500234	35	IGHA1, IGHA2, IGKV3-20, IGHG1, IGKC, IGHG2, JCHAIN, IGLV2-23, IGHM
ERWIN_COHEN_BLOOD_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_2DY_UP	0.488469601677149	0.845588235294118	0.0828962134571565	0.601309724909195	1.00063396494099	2	SP140
ERWIN_COHEN_BLOOD_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_2DY_DN	0.648915187376726	0.912666456589989	0.0652353056017703	0.675471698113208	0.901502936199862	1	DPY19L3
ERWIN_COHEN_BLOOD_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_7DY_UP	0.628282828282828	0.892006484599077	0.0679922591544058	-0.680188679245283	-0.916387082166968	1	IFI35
ERWIN_COHEN_PBMC_TC_83_AGE_18_45YO_NAIVE_NOT_PREVIOUSLY_IMMUNIZED_24HR_DEG_CANONICAL_PATHWAY_MEMBERS_UP	0.0312844485429253	0.291890924647827	0.321775918075361	-0.984905660377358	-1.32691832702124	1	IL6
ERWIN_COHEN_PBMC_TC_83_AGE_18_45YO_RESPONDERS_PREVIOUSLY_IMMUNIZED_24HR_DEG_CANONICAL_PATHWAY_MEMBERS_UP	0.353057199211045	0.803991641767727	0.0978773277424561	0.825471698113208	1.10169702398726	1	NOD2
FLETCHER_PBMC_BCG_10W_INFANT_BCG_STIMULATED_VS_UNSTIMULATED_10W_DN	0.754749568221071	0.948592353501892	0.0518457624865066	-0.247993778858592	-0.755752785262359	12	CYP1B1, S100A4, CD36, IGF2BP2, LYZ, ME1
FLETCHER_PBMC_BCG_10W_INFANT_BCG_STIMULATED_VS_UNSTIMULATED_10W_UP	0.181132075471698	0.725641818744201	0.140406238523342	-0.676431606677993	-1.27591947170876	3	IL6, BATF3
FLETCHER_PBMC_BCG_10W_INFANT_PPD_STIMULATED_VS_UNSTIMULATED_10W_DN	0.321942446043165	0.799296782370498	0.0978773277424561	-0.393752660350641	-1.10814283910194	9	S100A4, CD36, IGF2BP2, LYZ, ME1, TNS3, VWF
FLETCHER_PBMC_BCG_10W_INFANT_PPD_STIMULATED_VS_UNSTIMULATED_10W_UP	0.14638783269962	0.713659359190556	0.158514105424824	-0.778990584153382	-1.31673702342976	2	IL6
FOURATI_BLOOD_TWINRIX_AGE_25_83YO_RESPONDERS_VS_POOR_RESPONDERS_0DY_DN	0.0699844479004666	0.491978609625668	0.211400189384923	-0.366495240807734	-1.49924836088675	33	RPS4Y1, TPSB2, HP, TPSAB1, CBX2, PRR11
FOURATI_BLOOD_TWINRIX_AGE_25_83YO_RESPONDERS_VS_POOR_RESPONDERS_0DY_UP	0.0914826498422713	0.5844724851034	0.184706471207739	-0.34591407037459	-1.45188446928951	37	IGHG1, MXRA5, IGHG2, IGLC1, EGFL6, IGHM, SNX22, LPAR4, EXOG, ALDH1A3, PLS3
FOURATI_BLOOD_TWINRIX_AGE_65_81Y0_RESPONDERS_VS_POOR_RESPONDERS_TRAINING_SET_0DY_NETWORK_INFERENCE_UP	0.0185876731493769	0.287830472486159	0.352487857583619	-0.990566037735849	-1.33454429441791	1	IGHG1
FOURATI_BLOOD_TWINRIX_AGE_65_81YO_RESPONDERS_VS_POOR_RESPONDERS_TRAINING_SET_0DY_NETWORK_INFERENCE_DN	0.131313131313131	0.693885760257442	0.173747838999571	-0.922641509433962	-1.24303268565783	1	HP
FRANCO_BLOOD_SANOFI_PASTEUR_SA_INACTIVATED_INFLUENZA_VACCINE_CORRELATED_WITH_ANTIBODY_RESPONSE_AGE_18_40YO_0DY_NEGATIVE	0.79664570230608	0.953353557804944	0.0583452776743612	0.461219468144203	0.767511061270137	2	CAMK2A
FRANCO_BLOOD_SANOFI_PASTEUR_SA_INACTIVATED_INFLUENZA_VACCINE_CORRELATED_WITH_ANTIBODY_RESPONSE_AGE_18_40YO_14DY_POSITIVE	0.77120315581854	0.953353557804944	0.0570059526582387	0.610377358490566	0.814626256594009	1	CCDC191
FRANCO_BLOOD_SANOFI_PASTEUR_SA_INACTIVATED_INFLUENZA_VACCINE_CORRELATED_WITH_ANTIBODY_RESPONSE_AGE_18_40YO_1DY_NEGATIVE	0.658280922431866	0.912666456589989	0.0675188953767744	0.527856468366383	0.878401078480758	2	STRIP2, NMNAT3
FRANCO_BLOOD_SANOFI_PASTEUR_SA_INACTIVATED_INFLUENZA_VACCINE_CORRELATED_WITH_ANTIBODY_RESPONSE_AGE_18_40YO_1DY_POSITIVE	0.488469601677149	0.845588235294118	0.0828962134571565	0.601309724909195	1.00063396494099	2	SP140
FRANCO_BLOOD_SANOFI_PASTEUR_SA_INACTIVATED_INFLUENZA_VACCINE_CORRELATED_WITH_ANTIBODY_RESPONSE_AGE_18_40YO_3DY_POSITIVE	0.670611439842209	0.912666456589989	0.0636424081651019	0.666981132075472	0.890171195381707	1	SNX29
FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_18HR_TO_48HR_EARLY_DN	0.716981132075472	0.926436294254823	0.0633597010643758	0.500472143531634	0.832831076198215	2	NAP1L1, NACA
FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_18HR_TO_48HR_EARLY_UP	0.375757575757576	0.807703200226565	0.0956031492204301	-0.80188679245283	-1.08034538119545	1	CD36
FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_18HR_UP	0.366197183098592	0.807703200226565	0.0891647117820678	-0.468814312886676	-1.07422045158467	5	ADAMDEC1, CD209, HLA-DQB1
FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_192HR_DN	0.468686868686869	0.845588235294118	0.083129129135339	-0.761320754716981	-1.02569261485263	1	CD209
FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_192HR_UP	0.5	0.845588235294118	0.0745500777420554	-0.460869581531477	-0.964833779888392	4	ADAMDEC1
FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_336HR_DN	0.468686868686869	0.845588235294118	0.083129129135339	-0.761320754716981	-1.02569261485263	1	CD209
FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_336HR_UP	0.5	0.845588235294118	0.0745500777420554	-0.460869581531477	-0.964833779888392	4	ADAMDEC1
FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_48HR_UP	0.366197183098592	0.807703200226565	0.0891647117820678	-0.468814312886676	-1.07422045158467	5	ADAMDEC1, CD209, HLA-DQB1
GARCIA_PINERES_PBMC_HPV_16_L1_VLP_AGE_18_25YO_12MO_CORRELATED_WITH_ANTIBODY_RESPONSE_NEGATIVE	0.190775681341719	0.725641818744201	0.144630528034484	0.743153918791313	1.2366755791849	2	HS3ST2, PLIN2
GARCIA_PINERES_PBMC_HPV_16_L1_VLP_AGE_18_25YO_12MO_CORRELATED_WITH_ANTIBODY_RESPONSE_POSITIVE	0.894949494949495	0.991245791245791	0.051218434854034	-0.550943396226415	-0.742260826609583	1	HIRIP3
