pathway	pval	padj	log2err	ES	NES	size	leadingEdge
AKT_UP.V1_DN	0.037231411150227	0.302377751329353	0.321775918075361	-0.652608630784394	-1.69434399007377	7	SFRP2, OGN, PROM1, PTGIS, CNN2, PDLIM4
AKT_UP.V1_UP	0.267045454545455	0.649029607593143	0.112843355675562	-0.423617618184819	-1.187475586719	9	KCNK5, PDGFD, MMP15, PLAT, PREP, VAT1
AKT_UP_MTOR_DN.V1_DN	0.588888888888889	0.895302619692864	0.0668966276500666	-0.321631936912928	-0.875102930194401	8	OGN, PROM1, TM4SF1, ERF
AKT_UP_MTOR_DN.V1_UP	0.308712121212121	0.679166666666667	0.103576326612592	-0.402610541979289	-1.12858901290438	9	KCNK5, HLA-DQB1, PLAT, KLF10, PSMD7, VAT1
ALK_DN.V1_DN	0.151515151515152	0.496358024691358	0.166933848713193	0.493074048525083	1.36308072289922	8	P2RX2, DLGAP2, PSORS1C1, DOC2A, CAMK2A
ALK_DN.V1_UP	0.267045454545455	0.649029607593143	0.112843355675562	-0.423968422328381	-1.18845895317572	9	IL6, CA3, BDKRB2, SCN1A
ATF2_S_UP.V1_DN	0.563604240282686	0.871024734982332	0.0667426134241917	-0.289170795999792	-0.916502359267657	13	ST6GALNAC2, CYP1B1, COL15A1, PTGIS
ATF2_S_UP.V1_UP	0.153409090909091	0.496358024691358	0.154190966581424	-0.488390589956073	-1.36904575603156	9	CTRL, SLC13A4, PLAU, TK1, S100A4
ATF2_UP.V1_DN	0.292418772563177	0.679166666666667	0.103958471559957	-0.393507330451115	-1.14984921723542	10	ST6GALNAC2, CYP1B1, PTGIS, SLCO4A1, MFAP4, PPL, DENND2D
ATF2_UP.V1_UP	0.00711719293945232	0.190130725668226	0.407017918923954	-0.620079223338444	-1.91879693803514	12	HMX1, RNF43, IGF2, SCUBE3, PLAU, TK1, SLC5A2, S100A4, APOD
ATM_DN.V1_DN	0.00839236071533357	0.196171431720922	0.380730400722792	-0.804880202698712	-1.83516271955325	5	PI15, TEX14, CLEC4E, SEMA3A
ATM_DN.V1_UP	0.80565371024735	0.954682145604588	0.0498907356726307	-0.230731391425523	-0.731283613434993	13	CRHR1, SLC5A2, CD36, IGFBP4, PPL, COL9A3
BCAT.100_UP.V1_DN	0.351888667992048	0.731146454605699	0.0985499803531691	-0.676109537299339	-1.10297625371343	2	IGHM, KLF10
BCAT.100_UP.V1_UP	0.479919678714859	0.808513332609718	0.0815265143256594	-0.760377358490566	-1.01797417594007	1	EEF1A2
BCAT_BILD_ET_AL_UP	0.536779324055666	0.861026127393991	0.0751181635276301	-0.59949969942762	-0.977998232680234	2	ST6GALNAC2
BCAT_GDS748_DN	0.156626506024096	0.496358024691358	0.157402899305283	-0.932075471698113	-1.24783931244266	1	IGHM
BCAT_GDS748_UP	0.908366533864542	0.986769179711267	0.0498907356726307	-0.292336802270577	-0.614524465015752	4	BAMBI, COTL1, FLT4, DYNC1I1
BMI1_DN.V1_DN	0.653429602888087	0.911875639851285	0.060640400949416	-0.275925506365585	-0.806268912820597	10	TEX14, S100A4, EEF1A2, COL9A3, TCEAL2
BMI1_DN.V1_UP	0.414035087719298	0.765847578347578	0.0822054920415869	-0.332790415227819	-1.02979942838377	12	IGKC, BDKRB2, SLCO4A1, MMP15, PLAT, P3H3, SLC19A1, SLC29A1
BMI1_DN_MEL18_DN.V1_DN	0.337016574585635	0.724391947672573	0.0965629554309422	-0.365318933320396	-1.09674852531153	11	MXRA5, COL14A1, PROM1, S100A4, COL9A3, TCEAL2, TMOD1
BMI1_DN_MEL18_DN.V1_UP	0.642706131078224	0.911875639851285	0.069119845655101	0.324478178368121	0.858397405750949	7	NT5E, SLC7A11, EDN1, ITGB8, GAB2, SLC19A1, PLAT
BRCA1_DN.V1_DN	0.940239043824701	0.986769179711267	0.0483117581055019	-0.269631031220435	-0.566794409480548	4	SLC5A2, IFI35, SNHG20, NRGN
BRCA1_DN.V1_UP	0.40625	0.765847578347578	0.0891647117820678	-0.430443786029482	-1.05022969638147	6	OSR2, TRPM8
CAHOY_ASTROCYTIC	0.992779783393502	0.998117309110671	0.0413209506074822	-0.151690492832447	-0.443247637205359	10	EGFL6
CAHOY_ASTROGLIAL	0.0685185185185185	0.4	0.234392647294686	-0.572466416601222	-1.55757865159155	8	OGN, OMD, COL5A1, CALHM5, PRSS23
CAHOY_NEURONAL	0.0134267607111858	0.216251995532281	0.380730400722792	0.581268832037314	1.71415761919504	9	SLC6A17, SV2B, HS3ST2, SYT1, NRGN, GABRD, DYNC1I1, NAPB
CAHOY_OLIGODENDROCUTIC	0.0372930499988062	0.302377751329353	0.321775918075361	-0.667873800610992	-1.62952961943509	6	GPR17, COL20A1, DCT, SOX10
CAMP_UP.V1_DN	0.758747697974217	0.930829400736958	0.0545680646670941	-0.251697639620615	-0.755638402229205	11	SLC13A4, PLS3, TUBB3, ME1, UBE2E2
CAMP_UP.V1_UP	0.0796296296296296	0.41499838180221	0.216542836735348	-0.565686293784955	-1.53913115100892	8	CRABP1, STAT4, IPO4, MYC, HLA-DRB5
CORDENONSI_YAP_CONSERVED_SIGNATURE	0.534791252485089	0.861026127393991	0.0753093764172773	-0.511693545096637	-0.967682338237403	3	TK1, BIRC5
CRX_DN.V1_DN	0.34593572778828	0.730825598436737	0.0965629554309422	-0.425449589711819	-1.10457925532052	7	SMOC2, PCOLCE, CTNNAL1, PLAT, KLF10, TMOD1
CRX_DN.V1_UP	0.864705882352941	0.98	0.0514264916187015	-0.285984848484849	-0.652058195165892	5	PLA2R1, ZDHHC12, ALPL, DOCK8, DPF3
CRX_NRL_DN.V1_DN	0.913357400722022	0.986769179711267	0.0451344222209097	-0.210678953301216	-0.615615036354388	10	PLAAT1, RAB27B, BAMBI, NTN4, METRN
CRX_NRL_DN.V1_UP	0.806629834254144	0.954682145604588	0.0517405459873163	-0.23556724072341	-0.707212247465195	11	SAMD11, PLA2R1, PCOLCE, ZDHHC12, PIP4K2C, ALPL
CSR_EARLY_UP.V1_DN	0.49003984063745	0.818191519635743	0.0799858801499946	-0.469208454406266	-0.986328345200961	4	COL1A1
CSR_EARLY_UP.V1_UP	0.208480565371025	0.581878592901218	0.125033367555272	-0.385244901211897	-1.22100110294953	13	DLX2, TMEM200A, CEMIP2, KLF10, FZD8, ETS1, EHD4, GTPBP4, HMGA1
CSR_LATE_UP.V1_DN	0.763537906137184	0.930829400736958	0.053347785067549	-0.25131133267963	-0.734344996401436	10	TOX, L1CAM, OLFML2A, NTN4, ME1
CSR_LATE_UP.V1_UP	0.0848375451263538	0.41499838180221	0.206587922696891	-0.52289421291074	-1.52792452614053	10	UMPS, SAMD11, TRIP13, CDC6, CDCA8, BIRC5
CTIP_DN.V1_DN	0.559546313799622	0.871024734982332	0.0704500850658419	-0.346394700233289	-0.899331928583669	7	PI15
