pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ADIPOGENESIS	0.681481481481481	0.814453477868112	0.0598603117764473	-0.260496183206107	-0.820706982317677	13	OMD, COL15A1, CD36, ME1, SLC19A1, ATP1B3, SAMM50, ALDOA, NMT1, MAP4K3, LIFR, GPHN, PLIN2
HALLMARK_ALLOGRAFT_REJECTION	0.421359223300971	0.684719132369299	0.086794975677172	-0.422686740332397	-1.03619274555302	6	IL6, STAT4
HALLMARK_ANDROGEN_RESPONSE	0.768932038834951	0.886304909560723	0.0564118388217596	-0.311916504821513	-0.764645749852813	6	ALDH1A3, SLC26A2, XRCC6, UBE2I, PA2G4
HALLMARK_ANGIOGENESIS	0.00919760092031219	0.219041841113218	0.380730400722792	-0.811391769163887	-1.72059637155775	4	LUM, COL3A1, POSTN
HALLMARK_APICAL_JUNCTION	0.916483516483516	0.931726907630522	0.0540088272801684	0.201712654614653	0.603710270981711	10	EGFR, MADCAM1, PLCG1, FSCN1, ACTG1, VWF, THY1, CD209, CNN2, COL9A1
HALLMARK_APICAL_SURFACE	0.322	0.645463510848126	0.104343952581949	-0.61531190926276	-1.15021056029047	3	AFAP1L2, FLOT2, THY1
HALLMARK_APOPTOSIS	0.021743677173974	0.219041841113218	0.352487857583619	-0.606214537018204	-1.78120799645238	10	IL6, LUM, DCN, CASP8, HGF, BGN
HALLMARK_BILE_ACID_METABOLISM	0.0520833333333333	0.283564814814815	0.287857117255149	0.707478904630541	1.52959348096509	4	NR3C2, ABCD2, SLC22A18
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.422	0.684719132369299	0.0883594442500905	-0.568052930056711	-1.06186873538337	3	SQLE, FASN, ACTG1
HALLMARK_COAGULATION	0.1	0.326666666666667	0.191892240384838	-0.44899764445183	-1.41459079096852	13	LEFTY2, DCT, PLAU, PRSS23, MMP15, PROS1, PLAT, PREP, CTSH, VWF, CRIP2
HALLMARK_COMPLEMENT	0.0935779816513762	0.326666666666667	0.197822021315103	-0.495407731136527	-1.40062354640578	9	IL6, CD36, GNG2, MMP15, ME1, PLAT, PREP, CTSH
HALLMARK_DNA_REPAIR	0.266283524904215	0.587706146926537	0.11378726182188	-0.566912638092373	-1.2021662841085	4	UMPS
HALLMARK_E2F_TARGETS	0.132142857142857	0.356274900398406	0.161978948883402	-0.390204964912319	-1.41362571622804	20	TRIP13, TK1, CDC25A, CDCA8, CDK4, SPAG5, MYC, UBE2S, BIRC5, RAN, TUBB, HMGA1, RAD1, PSIP1, POLA2
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.000126026440644883	0.00617529559159925	0.518848077743792	-0.624204829002251	-2.28533361452955	21	IL6, MXRA5, LUM, COL3A1, COL1A2, POSTN, COL1A1, DCN, CTHRC1, FBLN1, COL5A1, PCOLCE, BGN, NID2, IGFBP4
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.0387547627811896	0.267675368969549	0.321775918075361	-0.582707538303708	-1.71213862987333	10	KCNK5, PRSS23, SLC1A1, IGFBP4, MYC, SLC26A2, FASN, KLF10
HALLMARK_ESTROGEN_RESPONSE_LATE	0.0915750915750916	0.326666666666667	0.199915231309662	-0.461635468838592	-1.43324802938763	12	KCNK5, TPSAB1, PRLR, ST6GALNAC2, CDC6, PRSS23, IGFBP4
HALLMARK_FATTY_ACID_METABOLISM	0.920879120879121	0.931726907630522	0.05378728077603	0.199809705042816	0.598014891066789	10	TP53INP2, GCDH, ETFDH, PPARA, ALDOA, ACOT8, FASN, CEL, ME1, CD36
HALLMARK_G2M_CHECKPOINT	0.0696428571428571	0.326666666666667	0.227987202850442	-0.428540682426856	-1.55250748607118	20	KNL1, CDC6, CDC25A, KIF11, SS18, TTK, CDK4, CCNF, MYC, UBE2S, BIRC5, SQLE, SLC38A1, HMGA1, CBX1, POLA2
HALLMARK_GLYCOLYSIS	0.66970802919708	0.814453477868112	0.059989249649033	-0.273781172026472	-0.825976568351128	11	DCN, COL5A1, TGFA
HALLMARK_HEDGEHOG_SIGNALING	0.542145593869732	0.76782449725777	0.0727141077934447	-0.448438978240303	-0.950937029618159	4	L1CAM, HEY2, THY1, OPHN1
HALLMARK_HEME_METABOLISM	0.0887445887445888	0.326666666666667	0.222056046145248	0.549815453644061	1.44990754138706	7	KEL, FTCD, ALDH1L1, SLC7A11, FECH, GCLC
HALLMARK_HYPOXIA	0.342490842490842	0.645463510848126	0.0952879846194844	-0.355792015062891	-1.10463393496101	12	IL6, DCN, COL5A1, S100A4, BGN
HALLMARK_IL2_STAT5_SIGNALING	0.33086876155268	0.645463510848126	0.0978773277424561	-0.427402337363526	-1.11750090311546	7	UMPS, CDC6, BATF3, MYC
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.115830115830116	0.342882134266346	0.181383128498408	-0.802644003777148	-1.30934181280562	2	IL6, CD36
HALLMARK_INFLAMMATORY_RESPONSE	0.633828996282528	0.814453477868112	0.0635007968065945	-0.314911017544862	-0.852185082228496	8	IL6, CALCRL
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.374517374517374	0.67967967967968	0.0931454575337804	-0.680830972615675	-1.11062993768571	2	CASP8, IFI35
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.083495145631068	0.326666666666667	0.216542836735348	-0.58343229283357	-1.43025141711354	6	IL6, STAT4, CASP8
HALLMARK_KRAS_SIGNALING_DN	0.433189655172414	0.684719132369299	0.0911073131586733	0.359878106930235	1.014434286718	8	WNT16, RYR2, EPHA5, THRB
HALLMARK_KRAS_SIGNALING_UP	0.043702101056253	0.267675368969549	0.321775918075361	-0.571640515950817	-1.67962098552774	10	ADAMDEC1, IGF2, ALDH1A3, PLAU, APOD, EPHB2, PLAT, ETS1
HALLMARK_MITOTIC_SPINDLE	0.463369963369963	0.709535256410256	0.0785029047348687	-0.319351763584366	-0.991497223968278	12	PIF1, KIF11, TTK, WASF1, BIRC5, MAPRE1, FSCN1, ARFIP2, RAPGEF6, OPHN1, BCR, ABR
HALLMARK_MTORC1_SIGNALING	0.548446069469835	0.76782449725777	0.0697792517076235	-0.310309873893801	-0.911767031316125	10	PDAP1, CDC25A, CCNF, ME1, SQLE
HALLMARK_MYC_TARGETS_V1	0.0196852156331139	0.219041841113218	0.352487857583619	-0.498080614203455	-1.77330657942902	19	CDK4, MYC, RAN, PSMD7, FBL, RPS2, CCT7, PHB1, RPL6, SRSF7, RSL1D1, XRCC6, HDGF, RNPS1, RRM1, PA2G4, EIF3D, HSP90AB1, NAP1L1
HALLMARK_MYC_TARGETS_V2	0.118959107806691	0.342882134266346	0.175204047558551	-0.506172839506173	-1.36976135741249	8	IPO4, BYSL, CDK4, MYC, NOC4L, SLC19A1, PHB1, PA2G4
