pathway	pval	padj	log2err	ES	NES	size	leadingEdge
ABBUD_LIF_SIGNALING_1_UP	0.565400843881857	0.9590125716654	0.0755015292281669	0.517730496453901	0.9122564299322	2	VWF, KLF10
ABRAMSON_INTERACT_WITH_AIRE	0.529182879377432	0.9590125716654	0.0747385227439092	0.746478873239437	1.00291405385467	1	GCN1
ACEVEDO_LIVER_CANCER_DN	0.645510835913313	0.990079093838492	0.0540088272801684	-0.345058355670742	-0.847366324380854	6	MXRA5
ACEVEDO_LIVER_CANCER_UP	0.106811145510836	0.791117958137675	0.16823816568964	-0.572300402048752	-1.40540891172761	6	JCHAIN, COL1A2
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN	0.158227848101266	0.888576279408198	0.160801401070022	0.75886524822695	1.33714298633898	2	CPLX2, DTNA
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP	0.106811145510836	0.791117958137675	0.16823816568964	-0.573749219703377	-1.40896680061951	6	COL1A2, SCAND3, SDK1
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN	0.58277027027027	0.963987431418198	0.0629394692018967	-0.440708585492566	-0.929232525678309	4	MXRA5, BGN, PLEKHG3
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP	0.67603305785124	0.990079093838492	0.0549073703290958	-0.364186025137441	-0.833365452255916	5	AKR1C3, TK1
ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN	0.559880239520958	0.9590125716654	0.0590954798717342	-0.313579845432813	-0.913314139504203	10	H19, SDK1, DLX1
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN	0.361111111111111	0.918812903225806	0.106323255932708	0.514285714285714	1.07360591185547	3	TP53INP2, GSE1, FASN
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP	0.529182879377432	0.9590125716654	0.0747385227439092	0.746478873239437	1.00291405385467	1	GCN1
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP	0.544747081712062	0.9590125716654	0.0732558655828455	0.73943661971831	0.993452600516415	1	GCDH
