pathway	pval	padj	log2err	ES	NES	size	leadingEdge
PID_AP1_PATHWAY	0.0736434108527132	0.589147286821705	0.231126709673834	-0.971830985915493	-1.31750180746343	1	COL1A2
PID_AR_NONGENOMIC_PATHWAY	0.564777327935223	0.769347881248414	0.0734381410838857	0.71830985915493	0.967373321534378	1	PLCG1
PID_ATM_PATHWAY	0.912966252220249	0.948536365943115	0.0444181153081573	-0.41032447952777	-0.686012946382532	2	CDC25A
PID_ATR_PATHWAY	0.556201550387597	0.769347881248414	0.072003313661988	-0.711267605633803	-0.964258569230485	1	CDC25A
PID_AURORA_A_PATHWAY	0.951550387596899	0.96359532921205	0.0465084048719156	-0.52112676056338	-0.7064864764659	1	BIRC5
PID_AURORA_B_PATHWAY	0.673179396092362	0.769347881248414	0.0584693210386381	-0.524822695035461	-0.877440126809034	2	CDCA8, BIRC5
PID_AVB3_INTEGRIN_PATHWAY	0.0183882259147944	0.589147286821705	0.352487857583619	-0.760592471161856	-1.60234946446921	4	COL1A2, COL14A1, COL5A1
PID_BARD1_PATHWAY	0.657894736842105	0.769347881248414	0.0658311958368866	0.669014084507042	0.900984956331038	1	ATM
PID_BETA_CATENIN_NUC_PATHWAY	0.47093023255814	0.769347881248414	0.0806388495950661	-0.76056338028169	-1.03108837105834	1	TLE2
PID_CD8_TCR_PATHWAY	0.564777327935223	0.769347881248414	0.0734381410838857	0.71830985915493	0.967373321534378	1	PLCG1
PID_CDC42_REG_PATHWAY	0.564777327935223	0.769347881248414	0.0734381410838857	0.71830985915493	0.967373321534378	1	PLCG1
PID_CIRCADIAN_PATHWAY	0.402834008097166	0.769347881248414	0.0916795246008379	0.816901408450704	1.10015005194106	1	CRY2
PID_CMYB_PATHWAY	0.0736434108527132	0.589147286821705	0.231126709673834	-0.971830985915493	-1.31750180746343	1	COL1A2
PID_CONE_PATHWAY	0.582995951417004	0.769347881248414	0.0718276293603809	0.697183098591549	0.938921165018661	1	SLC24A2
PID_DELTA_NP63_PATHWAY	0.112040133779264	0.746934225195095	0.170932335370056	-0.646754062508155	-1.36252469620186	4	DLX5, COL5A1
PID_DNA_PK_PATHWAY	0.558704453441296	0.769347881248414	0.0739901439101341	0.725352112676056	0.976857373706284	1	PNKP
PID_E2F_PATHWAY	0.414634146341463	0.769347881248414	0.0817515582532145	-0.548439512783843	-1.04307488928212	3	TK1, CDC25A
