pathway	pval	padj	log2err	ES	NES	size	leadingEdge
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	0.143737166324435	0.865494577865588	0.166933848713193	-0.936619718309859	-1.25437609159713	1	ABCA10
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	0.143737166324435	0.865494577865588	0.166933848713193	-0.936619718309859	-1.25437609159713	1	ABCA10
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	0.827515400410678	0.905476858289926	0.0555947097758869	-0.598591549295775	-0.80166893071997	1	UBE2S
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	0.834296724470135	0.905476858289926	0.0522693317499306	0.584507042253521	0.77935685023384	1	PCGF2
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	0.568788501026694	0.865494577865588	0.0738052724171275	-0.711267605633803	-0.952571317679023	1	CDC25A
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	0.64755838641189	0.865494577865588	0.0689567351672811	0.51063829787234	0.868108527748509	2	PPARA, FASN
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS	0.240847784200385	0.865494577865588	0.120985142145252	0.887323943661972	1.18312003770438	1	DLG2
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	0.919917864476386	0.96630027781133	0.0507027937029348	-0.542253521126761	-0.726217737240443	1	CDT1
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	0.118022328548644	0.865494577865588	0.161978948883402	-0.539908648627469	-1.41415559641342	7	COL1A2, UBR1, KIF11, CLEC2D, CCNF, UBE2S
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	0.486652977412731	0.865494577865588	0.0819778796501272	-0.746478873239437	-0.999728313603727	1	SOX10
REACTOME_ADIPOGENESIS	0.635838150289017	0.865494577865588	0.0650877566917313	0.690140845070423	0.920204473770076	1	PPARA
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1	0.271676300578035	0.865494577865588	0.112843355675562	0.873239436619718	1.16434035456622	1	P2RY1
REACTOME_ANCHORING_FIBRIL_FORMATION	0.205607476635514	0.865494577865588	0.130105630751129	-0.726776461657521	-1.22956200966781	2	COL1A2
REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE	0.624203821656051	0.865494577865588	0.0707899094502623	0.524822695035461	0.8922226535193	2	TUBB, HAUS8
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION	0.281306715063521	0.865494577865588	0.106729884364606	-0.607142857142857	-1.18123894394164	3	UBR1, CCNF, UBE2S
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	0.382165605095541	0.865494577865588	0.09754492162472	0.645390070921986	1.09719272257103	2	PLCG1, NUP85
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	0.591522157996146	0.865494577865588	0.0686325631836726	0.71830985915493	0.957763840046406	1	PLCG1
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	0.827515400410678	0.905476858289926	0.0555947097758869	-0.598591549295775	-0.80166893071997	1	UBE2S
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B	0.827515400410678	0.905476858289926	0.0555947097758869	-0.598591549295775	-0.80166893071997	1	UBE2S
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1	0.827515400410678	0.905476858289926	0.0555947097758869	-0.598591549295775	-0.80166893071997	1	UBE2S
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS	0.827515400410678	0.905476858289926	0.0555947097758869	-0.598591549295775	-0.80166893071997	1	UBE2S
REACTOME_APEX1_INDEPENDENT_RESOLUTION_OF_AP_SITES_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY	0.581888246628131	0.865494577865588	0.0694481442003175	0.725352112676056	0.967153681615488	1	PNKP
REACTOME_ARACHIDONIC_ACID_METABOLISM	0.182751540041068	0.865494577865588	0.14641623786055	-0.915492957746479	-1.22608189404231	1	AKR1C3
REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS	0.240847784200385	0.865494577865588	0.120985142145252	0.887323943661972	1.18312003770438	1	DLG2
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	0.0263297709235181	0.865494577865588	0.352487857583619	-0.760592471161856	-1.62291306472963	4	COL1A2, COL14A1, COL5A1
REACTOME_AURKA_ACTIVATION_BY_TPX2	0.624203821656051	0.865494577865588	0.0707899094502623	0.524822695035461	0.8922226535193	2	TUBB, HAUS8
REACTOME_AUTOPHAGY	0.658959537572254	0.865494577865588	0.0633597010643758	0.669014084507042	0.892034949062829	1	ATM
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS	0.601642710472279	0.865494577865588	0.0709609456938284	-0.704225352112676	-0.943139918494082	1	BGN
REACTOME_BASE_EXCISION_REPAIR	0.581888246628131	0.865494577865588	0.0694481442003175	0.725352112676056	0.967153681615488	1	PNKP
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM	0.182751540041068	0.865494577865588	0.14641623786055	-0.915492957746479	-1.22608189404231	1	AKR1C3
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	0.0362905700251776	0.865494577865588	0.321775918075361	-0.801454794186821	-1.55928642421539	3	JCHAIN, COL1A2
REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_GENE_EXPRESSION	0.635838150289017	0.865494577865588	0.0650877566917313	0.690140845070423	0.920204473770076	1	PPARA
REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION	0.737957610789981	0.865494577865588	0.0579754757571486	0.633802816901408	0.845085741217417	1	TBP
REACTOME_CARDIAC_CONDUCTION	0.46611909650924	0.865494577865588	0.0843144320642653	-0.753521126760563	-1.00915971278867	1	CACNG4
REACTOME_CARDIOGENESIS	0.102669404517454	0.865494577865588	0.199915231309662	-0.957746478873239	-1.28267028915195	1	HAND2
REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS	0.445585215605749	0.865494577865588	0.086794975677172	-0.774647887323944	-1.03745391034349	1	REPS2
REACTOME_CDC42_GTPASE_CYCLE	0.951167728237792	0.984645681405582	0.0507027937029348	0.340425531914894	0.578739018499006	2	DOCK8, PLEKHG3
REACTOME_CELLULAR_RESPONSES_TO_STIMULI	0.963779527559055	0.991542723826188	0.0363783055518278	-0.190489141211138	-0.524476776984864	8	CBX2
REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS	0.635838150289017	0.865494577865588	0.0650877566917313	0.690140845070423	0.920204473770076	1	PPARA
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS	0.382165605095541	0.865494577865588	0.09754492162472	0.645390070921986	1.09719272257103	2	ATM, NUP85
REACTOME_CELLULAR_RESPONSE_TO_STARVATION	0.543352601156069	0.865494577865588	0.0728938564822936	0.746478873239437	0.995323206322736	1	GCN1
REACTOME_CELLULAR_SENESCENCE	0.680505415162455	0.865494577865588	0.0587185879555941	-0.391048234186623	-0.834398593548358	4	CBX2, UBE2S, ERF
REACTOME_CELL_CELL_COMMUNICATION	0.164485981308411	0.865494577865588	0.147331213699377	-0.75177304964539	-1.27185129197493	2	SDK1, SOX10
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION	0.164485981308411	0.865494577865588	0.147331213699377	-0.75177304964539	-1.27185129197493	2	SDK1, SOX10
REACTOME_CELL_CYCLE	0.38366718027735	0.865494577865588	0.0793434960134973	-0.356060606060606	-1.06724492799684	11	PIF1, TK1, CDC25A, CDCA8, UBE2S, CDT1, BIRC5, HAUS8, TUBB, NUP85, ATM
REACTOME_CELL_CYCLE_CHECKPOINTS	0.649350649350649	0.865494577865588	0.0559428593065705	-0.343065693430657	-0.858083498111337	6	CDC25A, CDCA8, UBE2S, BIRC5, NUP85, ATM
REACTOME_CELL_CYCLE_MITOTIC	0.351477449455676	0.865494577865588	0.0845557442441281	-0.380597014925373	-1.07911312733212	9	TK1, CDC25A, CDCA8, UBE2S, CDT1, BIRC5, HAUS8, TUBB, NUP85
REACTOME_CELL_JUNCTION_ORGANIZATION	0.164485981308411	0.865494577865588	0.147331213699377	-0.75177304964539	-1.27185129197493	2	SDK1, SOX10
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	0.00898369789424626	0.865494577865588	0.380730400722792	-0.867730749289811	-1.68823093586294	3	JCHAIN, COL1A2
REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS	0.601642710472279	0.865494577865588	0.0709609456938284	-0.704225352112676	-0.943139918494082	1	BGN
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM	0.601642710472279	0.865494577865588	0.0709609456938284	-0.704225352112676	-0.943139918494082	1	BGN
REACTOME_CHREBP_ACTIVATES_METABOLIC_GENE_EXPRESSION	0.992292870905588	1	0.0443293451680314	0.507042253521127	0.676068592973934	1	FASN
REACTOME_CHROMOSOME_MAINTENANCE	0.363449691991786	0.865494577865588	0.0985499803531691	-0.816901408450704	-1.09404230545314	1	PIF1
REACTOME_CILIUM_ASSEMBLY	0.624203821656051	0.865494577865588	0.0707899094502623	0.524822695035461	0.8922226535193	2	TUBB, HAUS8
REACTOME_CIRCADIAN_CLOCK	0.280254777070064	0.865494577865588	0.117249716749792	0.695035460992908	1.1815921627688	2	CRY2, PPARA
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	0.271676300578035	0.865494577865588	0.112843355675562	0.873239436619718	1.16434035456622	1	P2RY1
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	0.281306715063521	0.865494577865588	0.106729884364606	-0.607142857142857	-1.18123894394164	3	UBR1, CCNF, UBE2S
REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS	0.445585215605749	0.865494577865588	0.086794975677172	-0.774647887323944	-1.03745391034349	1	REPS2
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	0.0263297709235181	0.865494577865588	0.352487857583619	-0.760592471161856	-1.62291306472963	4	COL1A2, COL14A1, COL5A1
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION	0.0263297709235181	0.865494577865588	0.352487857583619	-0.760592471161856	-1.62291306472963	4	COL1A2, COL14A1, COL5A1
REACTOME_COLLAGEN_DEGRADATION	0.0263297709235181	0.865494577865588	0.352487857583619	-0.760592471161856	-1.62291306472963	4	COL1A2, COL14A1, COL5A1
