pathway	pval	padj	log2err	ES	NES	size	leadingEdge
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME	0.386965376782077	0.908362356740862	0.0943563635421779	0.816901408450704	1.10424680421183	1	CRY2
WP_13Q1212_COPY_NUMBER_VARIATION	0.139954853273138	0.908362356740862	0.178219874951973	0.75886524822695	1.31855539205246	2	SNTB1, DTNA
WP_17Q12_COPY_NUMBER_VARIATION_SYNDROME	0.818737270875764	0.979633401221996	0.0557104226766671	0.584507042253521	0.790107627151571	1	PCGF2
WP_1P36_COPY_NUMBER_VARIATION_SYNDROME	0.780040733197556	0.975050916496945	0.0579754757571486	0.598591549295775	0.809146365155224	1	VWA1
WP_22Q112_COPY_NUMBER_VARIATION_SYNDROME	0.182468694096601	0.908362356740862	0.135740943810425	-0.726691350513308	-1.22583595460853	2	HAND2
WP_2Q112_COPY_NUMBER_VARIATION_SYNDROME	0.965451055662188	0.979633401221996	0.0454059226590179	-0.514084507042254	-0.695926374069592	1	ITPRIPL1
WP_2Q37_COPY_NUMBER_VARIATION_SYNDROME	0.187372708757637	0.908362356740862	0.143758989039275	0.915492957746479	1.2375179702374	1	IQCA1
WP_4P163_COPY_NUMBER_VARIATION	0.582484725050917	0.908362356740862	0.0721797965581253	0.71830985915493	0.970975638186269	1	PLCG1
WP_5Q35_COPY_NUMBER_VARIATION	0.586907449209932	0.908362356740862	0.0770736734944102	0.531914893617021	0.924221069195652	2	PLCG1, DBN1
WP_ADHD_AND_AUTISM_ASD_PATHWAYS	0.892436974789916	0.979633401221996	0.0429311093452583	-0.281573180472647	-0.645611972310245	5	AKR1C3, CACNG4
WP_ADIPOGENESIS	0.291592128801431	0.908362356740862	0.103576326612592	-0.669585266169357	-1.12950524781495	2	PRLR
WP_AFFECTED_PATHWAYS_IN_DUCHENNE_MUSCULAR_DYSTROPHY	0.139954853273138	0.908362356740862	0.178219874951973	0.75886524822695	1.31855539205246	2	SNTB1, DTNA
WP_ALLOGRAFT_REJECTION	0.259117082533589	0.908362356740862	0.115734447701689	-0.866197183098592	-1.17258827411726	1	COL5A1
WP_ALZHEIMERS_DISEASE	0.822810590631365	0.979633401221996	0.0554793308704233	0.577464788732394	0.780588258149745	1	TUBB
WP_ALZHEIMERS_DISEASE_AND_MIRNA_EFFECTS	0.822810590631365	0.979633401221996	0.0554793308704233	0.577464788732394	0.780588258149745	1	TUBB
WP_AMINO_ACID_METABOLISM	0.128309572301426	0.908362356740862	0.176694268938498	0.943661971830986	1.27559544624471	1	FTCD
WP_AMINO_ACID_METABOLISM_PATHWAY_EXCERPT_HISTIDINE_CATABOLISM_EXTENSION	0.128309572301426	0.908362356740862	0.176694268938498	0.943661971830986	1.27559544624471	1	FTCD
WP_AMPACTIVATED_PROTEIN_KINASE_SIGNALING	0.979633401221996	0.979633401221996	0.0474483193656297	0.507042253521127	0.685394568131484	1	FASN
WP_ANDROGEN_RECEPTOR_NETWORK_IN_PROSTATE_CANCER	0.896243291592129	0.979633401221996	0.0455878202571231	-0.41032447952777	-0.692165249670134	2	CDC25A
WP_ANGIOGENESIS	0.582484725050917	0.908362356740862	0.0721797965581253	0.71830985915493	0.970975638186269	1	PLCG1
WP_ANGIOPOIETINLIKE_PROTEIN_8_REGULATORY_PATHWAY	0.979633401221996	0.979633401221996	0.0474483193656297	0.507042253521127	0.685394568131484	1	FASN
WP_ANGIOTENSIN_II_RECEPTOR_TYPE_1_PATHWAY	0.0748560460652591	0.908362356740862	0.227987202850442	-0.971830985915493	-1.31558684413156	1	COL1A2
WP_APOPTOSIS	0.948176583493282	0.979633401221996	0.0462302524077616	-0.52112676056338	-0.705459612070546	1	BIRC5
WP_APOPTOSISRELATED_NETWORK_DUE_TO_ALTERED_NOTCH3_IN_OVARIAN_CANCER	0.948176583493282	0.979633401221996	0.0462302524077616	-0.52112676056338	-0.705459612070546	1	BIRC5
WP_APOPTOSIS_MODULATION_AND_SIGNALING	0.948176583493282	0.979633401221996	0.0462302524077616	-0.52112676056338	-0.705459612070546	1	BIRC5
WP_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY	0.479846449136276	0.908362356740862	0.0791316651768349	-0.753521126760563	-1.02005646610201	1	CACNG4
WP_ASPIRIN_AND_MIRNAS	0.0483005366726297	0.908362356740862	0.276500599254472	-0.852182575142964	-1.43752370213741	2	H19
WP_ATM_SIGNALING	0.896243291592129	0.979633401221996	0.0455878202571231	-0.41032447952777	-0.692165249670134	2	CDC25A
WP_ATM_SIGNALING_IN_DEVELOPMENT_AND_DISEASE	0.896243291592129	0.979633401221996	0.0455878202571231	-0.41032447952777	-0.692165249670134	2	CDC25A
WP_AXON_GUIDANCE	0.765784114052953	0.973454382270703	0.0588438169595807	0.605633802816901	0.81866573415705	1	EFNB1
WP_BASE_EXCISION_REPAIR	0.572301425661914	0.908362356740862	0.0730744399126987	0.725352112676056	0.980495007188095	1	PNKP
WP_BDNFTRKB_SIGNALING	0.27313769751693	0.908362356740862	0.123257226381337	0.666666666666667	1.15835707339188	2	PLCG1, GAB2
WP_BENZOAPYRENE_METABOLISM	0.18042226487524	0.908362356740862	0.142056643575821	-0.915492957746479	-1.23932094012393	1	AKR1C3
WP_BLOOD_CLOTTING_CASCADE	0.745417515274949	0.952948528050361	0.0601186142531851	0.619718309859155	0.837704472160702	1	VWF
WP_BRAINDERIVED_NEUROTROPHIC_FACTOR_BDNF_SIGNALING	0.582484725050917	0.908362356740862	0.0721797965581253	0.71830985915493	0.970975638186269	1	PLCG1
WP_BREAST_CANCER_PATHWAY	0.670061099796334	0.908362356740862	0.0652353056017703	0.669014084507042	0.904340055173485	1	ATM
WP_BURN_WOUND_HEALING	0.277280858676207	0.908362356740862	0.106729884364606	-0.680851063829787	-1.14850921672107	2	COL1A2, CNN2
WP_B_CELL_RECEPTOR_SIGNALING	0.27313769751693	0.908362356740862	0.123257226381337	0.666666666666667	1.15835707339188	2	PLCG1, GAB2
WP_CALCIUM_MEDIATED_TCELL_APOPTOSIS_INVOLVED_IN_INCLUSION_BODY_MYOSITIS	0.582484725050917	0.908362356740862	0.0721797965581253	0.71830985915493	0.970975638186269	1	PLCG1
WP_CANCER_PATHWAYS	0.459207459207459	0.908362356740862	0.0922597260527354	0.485714285714286	0.995458969655228	3	COL4A5, PLCG1, BIRC5
WP_CANONICAL_AND_NONCANONICAL_NOTCH_SIGNALING	0.287907869481766	0.908362356740862	0.108820126769161	-0.852112676056338	-1.15352179811535	1	MFAP2
WP_CCL18_SIGNALING	0.309481216457961	0.908362356740862	0.0999276973731092	-0.660647724630462	-1.11442875109259	2	COL1A2
WP_CELL_CYCLE	0.670731707317073	0.908362356740862	0.0577308549299813	-0.457768335678079	-0.878749551684367	3	CDC25A, TTK
WP_CELL_LINEAGE_MAP_FOR_NEURONAL_DIFFERENTIATION	0.424242424242424	0.908362356740862	0.096887770327544	0.492962204003778	1.01031339227529	3	DLG2, SLC6A1
WP_CEREBRAL_ORGANIC_ACIDURIAS_INCLUDING_DISEASES	0.55193482688391	0.908362356740862	0.0749278818393739	0.73943661971831	0.999533745191747	1	GCDH
