pathway	pval	padj	log2err	ES	NES	size	leadingEdge
LET_7A_2_3P	0.381578947368421	0.937059918939643	0.083129129135339	-0.434005456468929	-1.07451425539712	6	MXRA5
LET_7A_3P	0.197368421052632	0.891027064079046	0.12384217120105	-0.507081348728636	-1.25543614655897	6	COL1A2, MEX3B, UBR1, KIF11
LET_7A_5P_LET_7C_5P_LET_7E_5P	0.0758064516129032	0.891027064079046	0.206587922696891	-0.557607387687999	-1.47261202738802	7	COL1A2, PRLR, SDK1, IGF2BP2, CDC25A
LET_7B_3P	0.197368421052632	0.891027064079046	0.12384217120105	-0.507081348728636	-1.25543614655897	6	COL1A2, MEX3B, UBR1, KIF11
LET_7B_5P	0.0758064516129032	0.891027064079046	0.206587922696891	-0.557607387687999	-1.47261202738802	7	COL1A2, PRLR, SDK1, IGF2BP2, CDC25A
LET_7C_3P	0.232911392405063	0.891027064079046	0.143758989039275	0.473702326105019	1.22669134343614	5	DNAH12, GRB10, NECAB1, SLC24A2
LET_7D_5P	0.0840197693574959	0.891027064079046	0.197822021315103	-0.613304547545035	-1.43450567239505	5	COL1A2, SDK1, IGF2BP2, CDC25A
LET_7F_1_3P	0.197368421052632	0.891027064079046	0.12384217120105	-0.507081348728636	-1.25543614655897	6	COL1A2, MEX3B, UBR1, KIF11
LET_7F_2_3P	0.501754385964912	0.937059918939643	0.0721797965581253	-0.514285714285714	-0.996906171769968	3	HOXC6, UBR1, ERF
LET_7F_5P	0.0758064516129032	0.891027064079046	0.206587922696891	-0.557607387687999	-1.47261202738802	7	COL1A2, PRLR, SDK1, IGF2BP2, CDC25A
LET_7G_3P	0.381578947368421	0.937059918939643	0.083129129135339	-0.434005456468929	-1.07451425539712	6	MXRA5
LET_7G_5P	0.0758064516129032	0.891027064079046	0.206587922696891	-0.557607387687999	-1.47261202738802	7	COL1A2, PRLR, SDK1, IGF2BP2, CDC25A
LET_7I_3P	0.0300119046620727	0.891027064079046	0.352487857583619	-0.992957746478873	-1.33029009263142	1	DLX5
LET_7I_5P	0.0758064516129032	0.891027064079046	0.206587922696891	-0.557607387687999	-1.47261202738802	7	COL1A2, PRLR, SDK1, IGF2BP2, CDC25A
MIR101_3P	0.537190082644628	0.937059918939643	0.0658311958368866	-0.446043165467626	-0.961856149355946	4	MEX3B, SINHCAF, TFAP4, RNF38
MIR10393_5P	0.0221786298936151	0.891027064079046	0.352487857583619	-0.8	-1.55074293386439	3	DLX5, RAB27B, MEX3B
MIR10395_5P	0.903921568627451	0.987726942628903	0.0493910105981501	-0.41163802509707	-0.680522437072584	2	IGF2BP2
MIR10397_5P	0.1875	0.891027064079046	0.142901149386948	-0.908450704225352	-1.21707391453513	1	PRLR
MIR10399_5P	0.50253807106599	0.937059918939643	0.0919686140000427	0.343065693430657	0.954663560686292	6	NECAB1, MEGF10, RAPGEF6, GSE1, CCDC102A, SS18
MIR103A_3P_MIR107	0.735087719298246	0.974804828403587	0.05378728077603	-0.421428571428571	-0.816909224089279	3	CDC25A, RNF38, PCGF2
MIR10401_5P	0.496062992125984	0.937059918939643	0.0787113806986485	0.746478873239437	0.999311999107458	1	GCN1
MIR10526_3P	0.366141732283465	0.937059918939643	0.0956031492204301	0.823943661971831	1.10301418769408	1	L3MBTL1
MIR10527_5P	0.938842975206612	0.995989171788118	0.0398406946073899	-0.278607127087402	-0.60079382263926	4	EXOG
MIR105_5P	0.858267716535433	0.974804828403587	0.0519512476197082	0.563380281690141	0.75419773517544	1	RNF38
MIR106A_3P	0.548387096774194	0.937059918939643	0.0747385227439092	-0.732394366197183	-0.98120687683452	1	UBR1
MIR106A_5P	0.672774869109948	0.948417238749046	0.0776798560117236	0.275178700705437	0.821552975180444	7	PRDM6
MIR106B_5P	0.672774869109948	0.948417238749046	0.0776798560117236	0.275178700705437	0.821552975180444	7	PRDM6
MIR11181_3P	0.12396694214876	0.891027064079046	0.160801401070022	-0.62792412531618	-1.35406778541517	4	PRLR, SDK1
MIR11399	0.25	0.891027064079046	0.121543282035469	-0.873239436619718	-1.16990050699501	1	HOXC6
MIR1178_3P	0.0567951318458418	0.891027064079046	0.271288554688953	0.822695035460993	1.42704807067906	2	CDH23, CRY2
MIR1180_5P	0.858267716535433	0.974804828403587	0.0519512476197082	0.563380281690141	0.75419773517544	1	RNF38
MIR1184	0.777215189873418	0.974804828403587	0.0686325631836726	0.294944524747685	0.763783235511623	5	HPCAL4, DLG2
MIR1185_1_3P_MIR1185_2_3P	0.501754385964912	0.937059918939643	0.0721797965581253	-0.514285714285714	-0.996906171769968	3	HOXC6, UBR1, ERF
MIR1193	0.532258064516129	0.937059918939643	0.0762797180809272	-0.73943661971831	-0.990641558342545	1	IGF2BP2
MIR1197	0.931372549019608	0.992114236999148	0.0480220415968251	-0.387948226284867	-0.641358320449398	2	REPS2
MIR1199_5P	0.116141732283465	0.891027064079046	0.183023938384487	0.950704225352113	1.27270867810856	1	TP53INP2
MIR1200	0.0203413693538371	0.891027064079046	0.352487857583619	-0.805363041728272	-1.56113880769457	3	MYT1, CBX2
MIR1207_3P	0.161290322580645	0.891027064079046	0.155241966228839	-0.922535211267606	-1.23594327755117	1	CBX2
