pathway	pval	padj	log2err	ES	NES	size	leadingEdge
ADA2_TARGET_GENES	0.872463768115942	0.991743947161262	0.0696133438850965	0.220375969769007	0.685688230456789	8	PRDM6, CPLX2, MCM3AP
ADCYAP1_TARGET_GENES	0.223529411764706	0.991743947161262	0.127505315300183	-0.901408450704225	-1.19402547420508	1	TMEFF2
ADNP_TARGET_GENES	0.920353982300885	0.991743947161262	0.0438879842863647	-0.405174787909091	-0.672733548354365	2	TLE2
AEBP2_TARGET_GENES	0.578330893118594	0.991743947161262	0.0565299525056311	-0.289197514092184	-0.912098256936881	12	PRR11, HOXC6, PIF1, TK1
AHRR_TARGET_GENES	0.300595238095238	0.991743947161262	0.136490437780413	0.343283582089552	1.1133140789322	9	DTNA, PLCG1, HNRNPUL1, HMGXB3, KLF10, WDR54, UBE2S, SS18, CNN2
ALKBH3_TARGET_GENES	0.370221327967807	0.991743947161262	0.096240602328129	0.802816901408451	1.09297560598446	1	MCM3AP
ARHGAP35_TARGET_GENES	0.802816901408451	0.991743947161262	0.0560595875032335	0.591549295774648	0.805350446514864	1	DCHS1
ARID3B_TARGET_GENES	0.845070422535211	0.991743947161262	0.0536769600638126	0.570422535211268	0.776587930567905	1	GSE1
ARID5B_TARGET_GENES	0.308788598574822	0.991743947161262	0.118287526124085	0.542857142857143	1.1158545319503	3	GCDH, GATB, TFAP4
ARNT2_TARGET_GENES	0.45983379501385	0.991743947161262	0.102449405629826	0.343065693430657	0.957562562286024	6	PNKP, ATM, TBP, GSE1, HAUS8, SS18
ASH1L_TARGET_GENES	0.914739884393064	0.991743947161262	0.0347904098478036	-0.182265359239136	-0.603452731344597	14	PRR11, PIF1, TK1, SS18, CDCA8, CCNF, ZNF300, KLF10, HAUS8
ATF5_TARGET_GENES	0.588235294117647	0.991743947161262	0.0697792517076235	-0.725352112676056	-0.960817373774398	1	SINHCAF
ATF6_TARGET_GENES	0.684350132625995	0.991743947161262	0.0774767547848578	0.318840579710145	0.823168987766627	5	A2ML1, CCDC163, KIFC1, SS18, KIF11
ATXN7L3_TARGET_GENES	0.389920424403183	0.991743947161262	0.110122263835536	0.398550724637681	1.02896123470828	5	MCM3AP, GSE1, FASN, UBE2S, BCOR
AUTS2_TARGET_GENES	0.241379310344828	0.991743947161262	0.144630528034484	0.471014492753623	1.21604509556434	5	GCDH, TUBB, GSE1, FASN, CDT1
BAHD1_TARGET_GENES	0.732394366197183	0.991743947161262	0.0603786357920401	0.626760563380282	0.85328797309313	1	ZNF75A
BANP_TARGET_GENES	0.591549295774648	0.991743947161262	0.0707899094502623	0.683098591549296	0.929988015618355	1	RAPGEF6
BARHL1_TARGET_GENES	0.54337899543379	0.991743947161262	0.0817515582532145	0.553191489361702	0.946867969846114	2	CCDC163, C5orf15
BARX1_TARGET_GENES	0.907738095238095	0.991743947161262	0.0689567351672811	0.203134231764015	0.658791191700388	9	A2ML1, CCDC163, GCN1, RAPGEF6, TBP, C5orf15, KIFC1, CDCA8
BARX2_TARGET_GENES	0.593567251461988	0.991743947161262	0.0552495663125249	-0.275626847992586	-0.888915570337842	13	PIF1, TK1, CDC25A, PLEKHG3, CDCA8, KIFC1, UBE2S
BCL6B_TARGET_GENES	0.509803921568627	0.991743947161262	0.0770736734944102	-0.76056338028169	-1.00745899386053	1	TLE2
BDP1_TARGET_GENES	0.967930029154519	0.991743947161262	0.0325057651164641	-0.169349004777468	-0.504085213654266	10	MFAP2, CA3, UBR1, PLEKHG3, ARID3A, FASN, GSE1
BPTF_TARGET_GENES	0.0943683409436834	0.991743947161262	0.178219874951973	-0.520437198825963	-1.40571022726645	8	AKR1C3, PRLR, SRP68, IGF2BP2, SINHCAF
BRCA2_TARGET_GENES	0.351156069364162	0.991743947161262	0.0806388495950661	-0.329504658468157	-1.09093953438785	14	MYT1, PRLR, PIF1, SS18, ZNF300, CDT1, C8orf82, ZDHHC2, HAUS8, C5orf15, GSE1
CBX5_TARGET_GENES	0.202995008319468	0.991743947161262	0.122679189568808	-0.579600240943611	-1.22884302243956	4	AKR1C3, COL5A1
CBX7_TARGET_GENES	0.0358301932602236	0.991743947161262	0.321775918075361	-0.61437656449003	-1.5785108064382	7	CBX2, PRLR, TMEFF2, DLX1, TLE2
CC2D1A_TARGET_GENES	0.872620790629575	0.991743947161262	0.0376142599562161	-0.207393809568319	-0.654098057518106	12	SCAND3, PRR11, PIF1
CDC5L_TARGET_GENES	0.228855721393035	0.991743947161262	0.143758989039275	0.521896287299865	1.22216642626046	4	TP53INP2, FTCD
CDC73_TARGET_GENES	0.643835616438356	0.991743947161262	0.0728938564822936	0.51063829787234	0.874031972165644	2	MCM3AP, FASN
CDH4_TARGET_GENES	0.674509803921569	0.991743947161262	0.0630790410571939	-0.676056338028169	-0.895519105653808	1	CNN2
CEBPZ_TARGET_GENES	0.87062404870624	0.991743947161262	0.0395172228473919	-0.250424699036997	-0.67640161270284	8	PRR11, CDC25A, CDCA8, CCNF
CHAF1B_TARGET_GENES	0.582554517133956	0.991743947161262	0.0590954798717342	-0.353601811017438	-0.908505161375183	7	AKR1C3, UBE2S, ARID3A, C8orf82, FASN, TUBB
CHAMP1_TARGET_GENES	0.894117647058824	0.991743947161262	0.0498907356726307	-0.556338028169014	-0.736937597360946	1	ARID3A
CIC_TARGET_GENES	0.987610619469027	0.992506225737933	0.0406579344155557	-0.318308268620317	-0.528504382329746	2	UBR1
CIITA_TARGET_GENES	0.8592	0.991743947161262	0.0424170054438747	-0.304347826086957	-0.694743950630621	5	SRP68, OLFML2A, PCGF2, HNRNPUL1, GATB
COBLL1_TARGET_GENES	0.488933601609658	0.991743947161262	0.0806388495950661	0.73943661971831	1.00668805814358	1	GCDH
CREB3L4_TARGET_GENES	0.344236760124611	0.991743947161262	0.0857844408075645	-0.428014430879	-1.0996926697795	7	AKR1C3, PRLR
CREB3_TARGET_GENES	0.502654867256637	0.991743947161262	0.0725351864394589	-0.595936056379855	-0.989464768697991	2	SCAND3
CSHL1_TARGET_GENES	0.323529411764706	0.991743947161262	0.102821842840815	-0.852112676056338	-1.12872720608449	1	MFAP2
CUX1_TARGET_GENES	0.602898550724638	0.991743947161262	0.0891647117820678	0.288198533174834	0.896714566656377	8	LINC02984, DTNA, GCN1, GCDH, TBP, MYADM, GSE1
DACH1_TARGET_GENES	0.361111111111111	0.991743947161262	0.118287526124085	0.36027989170665	1.07353192908487	7	TP53INP2, COL4A5, PNKP, NUP85, MYADM, TFAP4
DBP_TARGET_GENES	0.795013850415512	0.991743947161262	0.072003313661988	0.277372262773723	0.774199518444019	6	CCDC163, RAPGEF6, ATM, HNRNPUL1, CNN2, UBR1
DIDO1_TARGET_GENES	0.0355168360288771	0.991743947161262	0.321775918075361	0.652173913043478	1.68375474770446	5	CCDC163, GATB, HMGXB3, NUP85, TBP
DLX2_TARGET_GENES	0.0634648370497427	0.991743947161262	0.234392647294686	-0.74381089842444	-1.41345631345447	3	PRLR, HOXC6
DLX4_TARGET_GENES	0.159144893111639	0.991743947161262	0.170932335370056	0.642857142857143	1.32140668257273	3	CCDC163, GCDH, TBP
DLX6_TARGET_GENES	0.207843137254902	0.991743947161262	0.132846300606183	-0.908450704225352	-1.2033537982223	1	PRLR
