pathway	pval	padj	log2err	ES	NES	size	leadingEdge
GCM_AQP4	0.488933601609658	0.873287671232877	0.0806388495950661	0.753521126760563	1.02277895548275	1	DTNA
GCM_ATM	0.651911468812877	0.873287671232877	0.065981614400873	0.669014084507042	0.908074773559453	1	ATM
GCM_BAG5	0.876712328767123	0.916432370589452	0.0507027937029348	-0.563380281690141	-0.749228735125605	1	GPR153
GCM_BNIP1	0.688128772635815	0.873287671232877	0.0633597010643758	0.647887323943662	0.879398728078628	1	HMGXB3
GCM_CDH5	0.113502935420744	0.460516237745098	0.184706471207739	-0.950704225352113	-1.26432349052446	1	COL14A1
GCM_CSNK1D	0.876712328767123	0.916432370589452	0.0507027937029348	-0.563380281690141	-0.749228735125605	1	GPR153
GCM_DEAF1	0.876712328767123	0.916432370589452	0.0507027937029348	-0.563380281690141	-0.749228735125605	1	GPR153
GCM_ERCC4	0.113502935420744	0.460516237745098	0.184706471207739	-0.950704225352113	-1.26432349052446	1	COL14A1
GCM_FANCC	0.113502935420744	0.460516237745098	0.184706471207739	-0.950704225352113	-1.26432349052446	1	COL14A1
GCM_HMGA2	0.113502935420744	0.460516237745098	0.184706471207739	-0.950704225352113	-1.26432349052446	1	COL14A1
GCM_LTK	0.651911468812877	0.873287671232877	0.065981614400873	0.669014084507042	0.908074773559453	1	ATM
GCM_MAP4K4	0.272331154684096	0.68082788671024	0.120985142145252	0.666666666666667	1.15918875767698	2	DTNA, GAB2
GCM_MAPK10	0.488933601609658	0.873287671232877	0.0806388495950661	0.753521126760563	1.02277895548275	1	DTNA
GCM_MYCL1	0.688128772635815	0.873287671232877	0.0633597010643758	0.647887323943662	0.879398728078628	1	HMGXB3
GCM_PRKCG	0.113502935420744	0.460516237745098	0.184706471207739	-0.950704225352113	-1.26432349052446	1	COL14A1
GCM_PTK2	0.104627766599598	0.460516237745098	0.195789002148949	0.950704225352113	1.29042204663712	1	TP53INP2
GCM_PTPRU	0.113502935420744	0.460516237745098	0.184706471207739	-0.950704225352113	-1.26432349052446	1	COL14A1
GCM_RAB10	0.876712328767123	0.916432370589452	0.0507027937029348	-0.563380281690141	-0.749228735125605	1	GPR153
