pathway	pval	padj	log2err	ES	NES	size	leadingEdge
MODULE_1	0.0609375	0.720496323529412	0.227987202850442	-0.618824132917915	-1.52883221765844	6	MXRA5, COL1A2, MFAP2
MODULE_100	0.532062391681109	0.847518806599479	0.0686325631836726	-0.504796779628131	-0.974294378105589	3	TLE2, SOX10
MODULE_104	0.240901213171577	0.793789243401426	0.11378726182188	-0.614285714285714	-1.18561595900045	3	REPS2, SOX10, CCNF
MODULE_105	0.512998266897747	0.847518806599479	0.0704500850658419	-0.514285714285714	-0.992608709860846	3	CCNF, BIRC5, ERF
MODULE_11	0.532062391681109	0.847518806599479	0.0686325631836726	-0.504796779628131	-0.974294378105589	3	TLE2, SOX10
MODULE_111	0.923791821561338	0.979716024340771	0.0459538081039063	-0.397163120567376	-0.664565774856113	2	BGN, EFNB1
MODULE_117	0.0229466924036944	0.527491345123747	0.352487857583619	-0.842696486143005	-1.62646530650076	3	DLX5, JCHAIN
MODULE_118	0.311278195488722	0.799933242611754	0.0894366833718621	-0.420132109093664	-1.11431031882409	7	MFAP2, SOX10, KIF11, KIFC1, CCNF
MODULE_119	0.48747591522158	0.847518806599479	0.0785029047348687	-0.753521126760563	-1.01656181794839	1	CACNG4
MODULE_12	0.0554649265905383	0.696778140293638	0.245041785430996	-0.651017061222627	-1.49406987834625	5	COL1A2, MFAP2, TLE2, SOX10
MODULE_121	0.173410404624277	0.793789243401426	0.14551614609036	-0.915492957746479	-1.2350751059186	1	AKR1C3
MODULE_122	0.928221859706362	0.979716024340771	0.03975964750879	-0.270218414597375	-0.620145335463573	5	COL5A1, BGN
MODULE_123	0.0743494423791822	0.782793414763675	0.224966093540314	-0.834420862445745	-1.39622114514354	2	DLX5
MODULE_124	0.786666666666667	0.930262328659209	0.0483117581055019	-0.352517985611511	-0.74736726094305	4	CDC25A, BIRC5, TBP, HNRNPUL1
MODULE_126	0.564547206165703	0.872876834148511	0.0709609456938284	-0.711267605633803	-0.959558351521376	1	CDC25A
MODULE_128	0.720081135902637	0.930262328659209	0.0615706755421678	0.619718309859155	0.853678253839935	1	VWF
MODULE_129	0.026243350503669	0.527491345123747	0.352487857583619	-0.69301643150757	-1.59045751208106	5	DLX5, JCHAIN
MODULE_13	0.793760831889081	0.930262328659209	0.0496901392724606	-0.4	-0.772028996558436	3	MFAP2, DBN1, EFNB1
MODULE_131	0.720081135902637	0.930262328659209	0.0615706755421678	0.619718309859155	0.853678253839935	1	VWF
MODULE_136	0.936802973977695	0.979716024340771	0.0453152441270267	-0.385487976187509	-0.645029969617502	2	PIF1
MODULE_137	0.532062391681109	0.847518806599479	0.0686325631836726	-0.504796779628131	-0.974294378105589	3	TLE2, SOX10
MODULE_138	0.680942184154176	0.922131314918932	0.0668966276500666	0.49645390070922	0.858030216685019	2	CDK10, ERF
MODULE_139	0.429368029739777	0.847518806599479	0.0833634065110386	-0.617205872783408	-1.03275928164248	2	PRLR
