pathway	pval	padj	log2err	ES	NES	size	leadingEdge
GOCC_9PLUS2_MOTILE_CILIUM	0.842829076620825	0.954767313359528	0.0526973085708419	0.563380281690141	0.758562762482501	1	RNF38
GOCC_ACTIN_BASED_CELL_PROJECTION	0.255402750491159	0.899884061924572	0.118287526124085	0.866197183098592	1.16629024731685	1	CDH23
GOCC_ACTIN_CYTOSKELETON	0.670608108108108	0.918619042261323	0.0562940749700968	-0.39568345323741	-0.846142821367383	4	CNN2, CCDC102A, DBN1, MYADM
GOCC_ACTIN_FILAMENT_BUNDLE	0.654545454545455	0.918619042261323	0.065981614400873	-0.676056338028169	-0.904123691685889	1	CNN2
GOCC_ACTOMYOSIN	0.76036036036036	0.934341120781799	0.053457214108991	-0.475177304964539	-0.79296827542705	2	CNN2, DBN1
GOCC_ADHERENS_JUNCTION	0.220039292730845	0.899884061924572	0.128788713061714	0.887323943661972	1.19473635090994	1	DLG2
GOCC_AMPA_GLUTAMATE_RECEPTOR_COMPLEX	0.478787878787879	0.903259297712188	0.0819778796501272	-0.753521126760563	-1.0077211980249	1	CACNG4
GOCC_ANAPHASE_PROMOTING_COMPLEX	0.793939393939394	0.947340036210948	0.0567672387487446	-0.598591549295775	-0.800526185346881	1	UBE2S
GOCC_ANCHORING_JUNCTION	0.879452054794521	0.97716894977169	0.066436413766281	0.214814814814815	0.681467580039018	8	DLG2, SNTB1, PLCG1, MYADM, DBN1, CNN2, TLE2, SRP68
GOCC_APICAL_PART_OF_CELL	1	1	0.0379271467108098	-0.209378712120344	-0.447742488997837	4	RAB27B
GOCC_ATPASE_COMPLEX	0.966442953020134	0.986860761886757	0.0523759084097997	0.333333333333333	0.584409947244954	2	DPF3, SS18
GOCC_AUTOPHAGOSOME	0.100196463654224	0.899884061924572	0.197822021315103	0.950704225352113	1.28007466168922	1	TP53INP2
GOCC_AXON	0.264102564102564	0.899884061924572	0.135002033828631	0.408530794527487	1.17293899174612	6	CPLX2, DLG2, SLC6A1, DTNA
GOCC_AXONEMAL_DYNEIN_COMPLEX	0.145383104125737	0.899884061924572	0.161978948883402	0.922535211267606	1.2421465235651	1	DNAH12
GOCC_AXON_CYTOPLASM	0.944144144144144	0.986860761886757	0.0435378240914002	-0.385180135764871	-0.642782440985939	2	RAB27B
