pathway	pval	padj	log2err	ES	NES	size	leadingEdge
GOMF_1_PHOSPHATIDYLINOSITOL_3_KINASE_ACTIVITY	0.642990654205608	0.883516835232365	0.0630790410571939	0.669014084507042	0.905698778833107	1	ATM
GOMF_5ALPHA_ANDROSTANE_3BETA_17BETA_DIOL_DEHYDROGENASE_ACTIVITY	0.206315789473684	0.769055036344756	0.13880510939114	-0.915492957746479	-1.23375713284613	1	AKR1C3
GOMF_5_3_DNA_HELICASE_ACTIVITY	0.389473684210526	0.82463891248938	0.0959206777921745	-0.816901408450704	-1.10089098007809	1	PIF1
GOMF_5_3_EXONUCLEASE_ACTIVITY	0.233684210526316	0.769055036344756	0.129442887745046	-0.894366197183099	-1.20528581439583	1	EXOG
GOMF_7S_RNA_BINDING	0.429473684210526	0.859260864182246	0.0902635484340068	-0.795774647887324	-1.07241966162779	1	SRP68
GOMF_ABC_TYPE_TRANSPORTER_ACTIVITY	0.170526315789474	0.769055036344756	0.154190966581424	-0.936619718309859	-1.26222845129643	1	ABCA10
GOMF_ACETYLTRANSFERASE_ACTIVITY	0.644308943089431	0.883516835232365	0.0670512579829467	0.51063829787234	0.883056495649633	2	MCM3AP, FASN
GOMF_ACTIN_BINDING	0.75462962962963	0.917744360902256	0.0656813601934011	0.330935251798561	0.780736892951665	4	SNTB1, DBN1, PLEKHG3, CNN2
GOMF_ACTIN_FILAMENT_BINDING	0.633684210526316	0.883516835232365	0.0696133438850965	-0.676056338028169	-0.91108219040945	1	CNN2
GOMF_ACTIVE_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.225609756097561	0.769055036344756	0.129442887745046	0.702127659574468	1.21420268151825	2	SLC6A1, SLC24A2
GOMF_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.530249110320285	0.863023281084458	0.070113215764256	-0.4940333639098	-0.960050985924894	3	ABCA10
GOMF_ACYLTRANSFERASE_ACTIVITY	0.706708268330733	0.891953062016661	0.0501934252649434	-0.310120377928296	-0.813352936670621	7	UBR1, BCOR, UBE2S, ZDHHC2, FASN, RNF38
GOMF_ACYLTRANSFERASE_ACTIVITY_TRANSFERRING_GROUPS_OTHER_THAN_AMINO_ACYL_GROUPS	0.383747178329571	0.82463891248938	0.100990587455923	0.507142857142857	1.05821453514295	3	MCM3AP, FASN, ZDHHC2
GOMF_ACYL_COA_BINDING	0.517757009345794	0.863023281084458	0.0738052724171275	0.73943661971831	1.00103549239449	1	GCDH
GOMF_ADENOSINE_RECEPTOR_BINDING	0.271028037383178	0.769055036344756	0.11101149245045	0.873239436619718	1.18217524816111	1	P2RY1
GOMF_ADENYL_NUCLEOTIDE_BINDING	0.858773181169758	0.960534045393859	0.0371479221137289	-0.192222229634047	-0.665179745074629	17	ABCA10, PALM3, PIF1, TK1, KIF11, TTK, KIFC1, UBE2S, KIF26B
GOMF_ADP_BINDING	0.271028037383178	0.769055036344756	0.11101149245045	0.873239436619718	1.18217524816111	1	P2RY1
