pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HP_2_3_TOE_CUTANEOUS_SYNDACTYLY	0.751491053677932	0.943896693774506	0.0585937568945671	-0.612676056338028	-0.830493648741158	1	BCOR
HP_2_3_TOE_SYNDACTYLY	0.751491053677932	0.943896693774506	0.0585937568945671	-0.612676056338028	-0.830493648741158	1	BCOR
HP_3_4_FINGER_SYNDACTYLY	0.798804780876494	0.946255002858776	0.055826471778749	0.605633802816901	0.806566951833616	1	EFNB1
HP_ABDOMINAL_OBESITY	0.276892430278884	0.919777697233297	0.11378726182188	0.866197183098592	1.1535783148318	1	CDH23
HP_ABDOMINAL_PAIN	0.302325581395349	0.919777697233297	0.0928481214159878	-0.44690889523465	-1.12792799791722	6	H19
HP_ABDUCENS_PALSY	0.276892430278884	0.919777697233297	0.11378726182188	0.866197183098592	1.1535783148318	1	CDH23
HP_ABNORMALITY_IRIS_MORPHOLOGY	0.0604651162790698	0.919777697233297	0.227987202850442	-0.604275283609366	-1.52509609475217	6	H19, DLX5
HP_ABNORMALITY_OF_ACID_BASE_HOMEOSTASIS	0.226495726495726	0.919777697233297	0.132846300606183	0.709219858156028	1.21258742634158	2	GCDH, GATB
HP_ABNORMALITY_OF_ADRENAL_PHYSIOLOGY	0.76056338028169	0.943896693774506	0.065981614400873	0.392857142857143	0.793372087779988	3	CDH23, GATB, BCOR
HP_ABNORMALITY_OF_ALKALINE_PHOSPHATASE_LEVEL	0.582504970178926	0.919777697233297	0.0709609456938284	-0.704225352112676	-0.954590400851906	1	BGN
HP_ABNORMALITY_OF_BLOOD_AND_BLOOD_FORMING_TISSUES	0.253164556962025	0.919777697233297	0.09754492162472	-0.323520773734307	-1.19891529362686	20	COL1A2, HAND2, COL14A1, PRLR, COL5A1, SRP68, UBR1, BGN, KIF11
HP_ABNORMALITY_OF_BLOOD_CIRCULATION	0.437340153452685	0.919777697233297	0.100633389423036	0.398550724637681	1.00857453672397	5	GCDH, DOCK8, ATM, VWF, BCOR
HP_ABNORMALITY_OF_BONE_MINERAL_DENSITY	0.172573189522342	0.919777697233297	0.128788713061714	-0.487499196367819	-1.29169481044295	7	COL1A2, PRLR, COL5A1, SOX10
HP_ABNORMALITY_OF_CARDIOVASCULAR_SYSTEM_ELECTROPHYSIOLOGY	0.697074010327022	0.943896693774506	0.0553642837725362	-0.392226782452974	-0.844931591444972	4	HAND2, SOX10
HP_ABNORMALITY_OF_CENTRAL_NERVOUS_SYSTEM_ELECTROPHYSIOLOGY	0.936619718309859	0.975420430290184	0.0560595875032335	0.309858256861775	0.625756452776749	3	SLC6A1, PNKP
