pathway	pval	padj	log2err	ES	NES	size	leadingEdge
GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP	0.203761755485893	0.996299338623219	0.118287526124085	-0.463850108992517	-1.24910904587526	8	TK1, BATF3, KIF11, CDCA8, TTK, CCNF, BIRC5
GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_DN	0.068452380952381	0.996299338623219	0.208955027549354	-0.508784877793357	-1.4939481659359	10	JCHAIN, TK1, BATF3, KIF11, CDCA8, TTK, KIFC1, CCNF
GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_UP	0.987551867219917	0.996299338623219	0.047925896705813	0.507042253521127	0.68094142629623	1	FASN
GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_DN	0.794171220400729	0.996299338623219	0.0519512476197082	-0.486213826691804	-0.787958291948452	2	TK1
GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_UP	0.605726872246696	0.996299338623219	0.0741758965588009	0.51063829787234	0.885537690232106	2	TUBB, FASN
GSE10147_IL3_AND_HIVP17_VS_IL3_AND_CPG_STIM_PDC_DN	0.448669201520913	0.996299338623219	0.0822054920415869	-0.788732394366197	-1.05346137308299	1	MEX3B
GSE10147_IL3_AND_HIVP17_VS_IL3_AND_CPG_STIM_PDC_UP	0.964757709251101	0.996299338623219	0.0517405459873163	0.319148936170213	0.553461056395066	2	DPF3, CLEC2D
GSE10147_IL3_VS_IL3_AND_HIVP17_STIM_PDC_DN	0.0455373406193078	0.996299338623219	0.287857117255149	-0.886524822695035	-1.43670242743522	2	COL14A1, SDK1
GSE10147_IL3_VS_IL3_AND_HIVP17_STIM_PDC_UP	0.881057268722467	0.996299338623219	0.0559428593065705	0.390070921985816	0.676452402260637	2	DOCK8, BCOR
GSE10211_UV_INACT_SENDAI_VS_LIVE_SENDAI_VIRUS_TRACHEAL_EPITHELIAL_CELLS_DN	0.421161825726141	0.996299338623219	0.0905428948469474	0.78169014084507	1.04978469887336	1	CCDC163
GSE10211_UV_INACT_SENDAI_VS_LIVE_SENDAI_VIRUS_TRACHEAL_EPITHELIAL_CELLS_UP	0.443983402489627	0.996299338623219	0.0875697115548511	0.767605633802817	1.03086965925402	1	RAB11FIP4
