pathway	pval	padj	log2err	ES	NES	size	leadingEdge
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_1DY_DN	0.911823647294589	0.993984962406015	0.0499913914024592	-0.556338028169014	-0.745268900717953	1	ARID3A
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_6HR_DN	0.843033509700176	0.993984962406015	0.0477342401407188	-0.387906994413489	-0.742304809466599	3	EXOG
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_7DY_UP	0.499021526418787	0.96979655134217	0.0780892306943345	0.753521126760563	1.02309797892684	1	DTNA
ERWIN_COHEN_BLOOD_LIVE_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_14DY_UP	0.1630615640599	0.920144571740316	0.13880510939114	-0.601095769906859	-1.28829779551807	4	JCHAIN, UBR1, CLEC2D
FLETCHER_PBMC_BCG_10W_INFANT_BCG_STIMULATED_VS_UNSTIMULATED_10W_DN	0.932234432234432	0.993984962406015	0.0448645113168564	-0.389991931410715	-0.641805575278344	2	IGF2BP2
FLETCHER_PBMC_BCG_10W_INFANT_BCG_STIMULATED_VS_UNSTIMULATED_10W_UP	0.408817635270541	0.920144571740316	0.0902635484340068	-0.802816901408451	-1.07545132508667	1	BATF3
FLETCHER_PBMC_BCG_10W_INFANT_PPD_STIMULATED_VS_UNSTIMULATED_10W_DN	0.932234432234432	0.993984962406015	0.0448645113168564	-0.389991931410715	-0.641805575278344	2	IGF2BP2
FOURATI_BLOOD_TWINRIX_AGE_25_83YO_RESPONDERS_VS_POOR_RESPONDERS_0DY_DN	0.807518796992481	0.993984962406015	0.0424170054438747	-0.268460851212694	-0.737435127288972	8	CBX2, PRR11
FOURATI_BLOOD_TWINRIX_AGE_25_83YO_RESPONDERS_VS_POOR_RESPONDERS_0DY_UP	0.276252019386107	0.920144571740316	0.100633389423036	-0.505225549670156	-1.16739858258966	5	MXRA5, EXOG
GARCIA_PINERES_PBMC_HPV_16_L1_VLP_AGE_18_25YO_2MO_DN	0.279176201372998	0.920144571740316	0.122679189568808	0.560585181397544	1.14298287921173	3	CPLX2, GRB10
