pathway	pval	padj	log2err	ES	NES	size	leadingEdge
LET_7A_2_3P	0.459074733096085	1	0.0774767547848578	-0.302240968862117	-1.01169484483028	17	MXRA5, OSR2, C1QL1, FAXC, RASL11B
LET_7A_3P	0.347611202635914	1	0.0883594442500905	-0.269641394886257	-1.06959988550954	30	PI15, COL1A2, SLC34A2, EGFL6, DLX2, BMPER, MEX3B, UBR1, KIF11, CEMIP2
LET_7A_5P_LET_7C_5P_LET_7E_5P	0.133884297520661	1	0.154190966581424	-0.349116393968661	-1.3481815219221	27	COL3A1, COL1A2, PRLR, SDK1, ARHGAP28, FAXC, ONECUT2, IGF2BP2, CDC25A, CEMIP2, B3GNT7
LET_7B_3P	0.347611202635914	1	0.0883594442500905	-0.269641394886257	-1.06959988550954	30	PI15, COL1A2, SLC34A2, EGFL6, DLX2, BMPER, MEX3B, UBR1, KIF11, CEMIP2
LET_7B_5P	0.133884297520661	1	0.154190966581424	-0.349116393968661	-1.3481815219221	27	COL3A1, COL1A2, PRLR, SDK1, ARHGAP28, FAXC, ONECUT2, IGF2BP2, CDC25A, CEMIP2, B3GNT7
LET_7C_3P	0.392508143322476	1	0.0810802057550866	-0.254072485721231	-1.04868094418403	36	C1QL1, SERTAD4, CTHRC1, RARB, PLPPR1, PLS3, FAXC, SCUBE3, RASL11B, KIF26A, SINHCAF
LET_7D_3P	0.352475247524752	1	0.0982123351217438	-0.838679245283019	-1.10062319912158	1	PTGIS
LET_7D_5P	0.126279863481229	1	0.161978948883402	-0.380299274583914	-1.39747069407268	23	COL3A1, COL1A2, SDK1, ARHGAP28, FAXC, ONECUT2, IGF2BP2, CDC25A, CEMIP2, B3GNT7
LET_7F_1_3P	0.349917081260365	1	0.0883594442500905	-0.270818226733823	-1.07903878901683	31	PI15, COL1A2, SLC34A2, EGFL6, DLX2, BMPER, MEX3B, UBR1, KIF11, CEMIP2, ALDH1L2, NTN4
LET_7F_2_3P	0.972972972972973	1	0.0523759084097997	0.145773715609848	0.510857162778014	14	WDR72
LET_7F_5P	0.133884297520661	1	0.154190966581424	-0.349116393968661	-1.3481815219221	27	COL3A1, COL1A2, PRLR, SDK1, ARHGAP28, FAXC, ONECUT2, IGF2BP2, CDC25A, CEMIP2, B3GNT7
LET_7G_3P	0.459074733096085	1	0.0774767547848578	-0.302240968862117	-1.01169484483028	17	MXRA5, OSR2, C1QL1, FAXC, RASL11B
LET_7G_5P	0.133884297520661	1	0.154190966581424	-0.349116393968661	-1.3481815219221	27	COL3A1, COL1A2, PRLR, SDK1, ARHGAP28, FAXC, ONECUT2, IGF2BP2, CDC25A, CEMIP2, B3GNT7
LET_7I_3P	0.0336420451694947	1	0.321775918075361	-0.980188679245283	-1.28633015060441	1	DLX5
LET_7I_5P	0.133884297520661	1	0.154190966581424	-0.349116393968661	-1.3481815219221	27	COL3A1, COL1A2, PRLR, SDK1, ARHGAP28, FAXC, ONECUT2, IGF2BP2, CDC25A, CEMIP2, B3GNT7
MIR100_3P	0.857425742574257	1	0.0522693317499306	-0.59622641509434	-0.782445288914327	1	CCT6A
MIR100_5P_MIR99A_5P_MIR99B_5P	0.825995807127883	1	0.0566484183613995	0.330179754020814	0.705652570264827	4	HS3ST2, ETFDH, SMARCA5, FZD8
MIR101_3P	0.67862969004894	1	0.0541200569620232	-0.213029667703205	-0.838384420440605	29	PI15, VSX1, CALCRL, MEX3B, SLC1A1, SINHCAF, NID2, OTUD3
MIR101_5P	0.158415841584158	1	0.155241966228839	-0.914150943396226	-1.19966690657909	1	OGN
MIR10226	0.862955032119914	1	0.0555947097758869	0.291302300007022	0.680080272723715	5	CCDC141, EPHA5, SSBP2, TRPS1
MIR10393_3P	0.478339350180505	1	0.0760837160951725	-0.375368618866346	-0.977278830896027	7	SMOC2, ENPEP
MIR10393_5P	0.0285972059958328	1	0.352487857583619	-0.696736983218255	-1.70544226555101	6	DLX5, RAB27B, ZNF229, MEX3B, CCDC71L
MIR10394_5P	0.215962441314554	1	0.143758989039275	0.422424030768984	1.24670486789781	9	SLC4A4, SLC24A4, ST6GAL2, XYLB, GPHN, KIAA0513
MIR10395_3P	0.169675090252708	1	0.142056643575821	-0.508322305337134	-1.32342610252971	7	VGLL3, TOX, CCDC71L, RNF182, SNX1
MIR10395_5P	0.510476190476191	1	0.0755015292281669	-0.467722740366482	-0.971783812200373	4	IGF2, IGF2BP2
MIR10396A_5P	0.0534653465346535	1	0.276500599254472	-0.976415094339623	-1.28137796523153	1	ROR2
MIR10397_3P	0.882226980728051	1	0.0545680646670941	0.28125	0.656611968731224	5	SGIP1, DMD, ZDHHC9, MLLT3, MAGEL2
MIR10397_5P	0.971428571428571	1	0.044774889329693	-0.254069939705174	-0.5278790900326	4	PRLR, PROS1
MIR10398_3P	0.984158415841584	1	0.0459538081039063	-0.511320754716981	-0.671021118024629	1	RBM4
MIR10398_5P	0.455445544554455	1	0.0835990603684159	-0.795283018867925	-1.04367306733351	1	P2RX6
MIR10399_5P	0.735494880546075	1	0.0524827622635459	-0.214026798209171	-0.786475805326647	23	SFRP2, ALDH1A3, ONECUT2, IPO4, SS18, OTUD3, CCDC102A, PTPN9, NTN4
MIR103A_1_5P	0.92952380952381	1	0.046788296531803	-0.294228949858089	-0.611317145556723	4	ONECUT2, UBR3, NGEF, LIFR
MIR103A_2_5P	0.85981308411215	1	0.0494904866135495	-0.294507575757576	-0.676798755301964	5	ONECUT2, RAB31, UBR3, NGEF, LIFR
MIR103A_3P_MIR107	0.609375	1	0.0621124188949471	-0.309853960394314	-0.875026877381218	9	DCN, CDC25A, FLOT2, RNF38, PCGF2, GPCPD1, N4BP1, NPAS3
MIR103B	0.580769230769231	1	0.0694481442003175	-0.479206049149338	-0.90669176681506	3	RNF112, ZDHHC9, ARFIP2
MIR10400_3P_MIR4674	0.903846153846154	1	0.048505983646947	-0.32703213610586	-0.618767951317575	3	ONECUT2, RAB31, NGEF
MIR10401_5P	0.563786008230453	1	0.0743625384422526	0.589235127478754	0.965345909168297	2	GCN1, PCNX1
MIR10522_5P	0.128158844765343	1	0.165656695205483	-0.53426858007856	-1.39097768721462	7	CA10, VGLL3, ARHGAP28, CD209, TINAGL1, POLR1F
MIR10523_5P	0.48758865248227	1	0.0741758965588009	-0.298349266218772	-0.968382999522703	15	ARHGAP28, ALDH1A3, HGF, SLC8A3, AFAP1L2, NOG, TM4SF1, TTC9, KLF8
MIR10524_5P	0.788461538461538	1	0.0547939500773363	-0.391304347826087	-0.74037552556496	3	TTC9, DMD, KDM3A
MIR10525_3P	0.156308851224105	1	0.152144922367565	-0.541758761025226	-1.32609336240092	6	CTHRC1, DCT, SCN1A
MIR10526_3P	0.99031007751938	1	0.0446854397644147	-0.288951841359773	-0.476763962334358	2	PIGK, L3MBTL1
MIR10527_5P	0.959493670886076	1	0.0584693210386381	0.122917550213427	0.53817475066318	30	MYOCD, MYOZ2, KCNV1
MIR105_5P	0.333333333333333	1	0.109684061970549	0.315186246418338	1.10455544690148	14	DET1, RNF170, EPHA5, SLC7A11, SSBP2, SLC10A7, MSI2, CRYZL1, GPCPD1, MORF4L2, PJA1, PRPF40A, RNF38, MLLT3
MIR106A_3P	0.092057761732852	1	0.197822021315103	-0.566807791745759	-1.4756940996639	7	PCDH15, OMD, SEMA3A, UBR1, PCDHB5
MIR106A_5P	0.752902155887231	1	0.0500922874402106	-0.19843321138007	-0.790630433891438	31	PCDH15, VSX1, SMOC2, PAK5, SCN1A, RASL11B, REPS2, MAP10, CCDC71L, NTN4, KIF26B
MIR106B_5P	0.752079866888519	1	0.0502948063662358	-0.196908249094662	-0.795564203227655	33	PCDH15, VSX1, SMOC2, PAK5, SCN1A, RASL11B, REPS2, MAP10, BAMBI, CCDC71L, NTN4, KIF26B
MIR10A_3P	0.0704761904761905	1	0.234392647294686	-0.713890434768495	-1.48324447010878	4	SMOC2, LPAR4, VGLL3
MIR10A_5P_MIR10B_5P	0.842960288808664	1	0.0487989701682839	-0.268415582887524	-0.698824712174451	7	HAS3, RNF112, ACTG1, MAPRE1, UBE2I, BAZ2B
MIR10B_3P	0.87344398340249	1	0.0535669384770951	0.352551984877127	0.676331865661304	3	EDNRB, PRPF40A, ZUP1
MIR11181_3P	0.65377855887522	1	0.0593487680335629	-0.282747077871442	-0.832931343928429	10	C3orf80, PRLR, SDK1
MIR11181_5P	0.228846153846154	1	0.124434168630393	-0.652136855031349	-1.23388909289274	3	IL6
MIR11399	0.937901498929336	1	0.0517405459873163	0.247366636925509	0.577507180338063	5	NR3C2, MADCAM1
MIR11400	0.279116465863454	1	0.11378726182188	0.865094339622641	1.15647679174998	1	NEURL2
MIR1178_3P	0.674273858921162	1	0.0658311958368866	0.439947907310664	0.843991245855307	3	CDH23, CRY2
MIR1179	0.421845574387947	1	0.0850427463764322	-0.423938396481252	-1.03769783542919	6	CYP1B1, SCN1A, CHML
MIR1180_3P	0.716831683168317	1	0.060640400949416	-0.665094339622642	-0.872822671969305	1	ETS1
MIR1180_5P	0.388461538461538	1	0.0908241419007155	-0.583175803402647	-1.10340990162701	3	SCUBE3, RNF38, SPSB1
MIR1183	0.996389891696751	1	0.0411544018789903	-0.163187855787476	-0.424862465599978	7	RARB, EHD4, PSIP1, UBR3, FECH, SGIP1, LGI1
MIR1184	0.939716312056738	1	0.0430173196927508	-0.181644359464627	-0.589581841088733	15	ALDH1A3, PIF1, CDC25A, HECW1, ZBTB46, HEY2, POLA2, GPCPD1, NPAS3, MAP4K3, KIAA0513, PARD3B, RASL12, DLG2, HPCAL4
MIR1185_1_3P_MIR1185_2_3P	0.988584474885845	1	0.0522693317499306	0.135182760355353	0.481624759477376	15	WDR72
MIR1185_5P	0.947791164658635	1	0.0483117581055019	0.523584905660377	0.699939606784341	1	BAZ2B
MIR1193	0.871369294605809	1	0.0536769600638126	0.357155293767986	0.685162803009324	3	RYR2
MIR1197	0.569420035149385	1	0.065981614400873	-0.301983852986729	-0.889600056723794	10	CA10, RFLNA, REPS2
MIR1199_5P	0.711618257261411	1	0.0632191170859458	0.425679526233779	0.816618939904288	3	TP53INP2, B3GALT5
MIR1200	0.395869191049914	1	0.0835990603684159	-0.305385423750615	-1.04619002385058	18	FBN3, MYT1, CBX2, VGLL3, NPR3, RBM7, OTUD3
MIR1202	0.585687382297552	1	0.0679922591544058	-0.357666849310156	-0.875481245422747	6	PAK5, TOX, SLC38A1, ACTG1, NUMBL
MIR1205	0.215962441314554	1	0.143758989039275	0.422424030768984	1.24670486789781	9	SLC4A4, SLC24A4, ST6GAL2, XYLB, GPHN, KIAA0513
MIR1206	0.546875	1	0.0802023444698144	0.343602634375076	0.924311353069474	7	P2RX2
MIR1207_3P	0.754512635379061	1	0.0538979025357319	-0.292499592795382	-0.761527857464335	7	CBX2, SCN1A
